Alessi Name           ;Published Name   ;Cns  ;Coordinates (J2000)  ;Wv   ;Type ;   Diam;  Dist; E-BV;   Age;Alias                                         ;Comments
2MASS J1645-4521      ;                 ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.3;      ;     ;      ;                                              ;
2MASS J1819-1328      ;                 ;SerCd;18 19 51.0 -13 27 58 ;IR   ;***  ;    3.0;      ;     ;      ;                                              ;Dubious, grp found by Alessi in 2MASS/Spitzer Aladin
2MASS J1842-0330      ;                 ;Aql  ;18 42 19.9 -03 30 09 ;IR   ;***  ;    1.0;      ;     ;      ;                                              ;
AWG 1                 ;                 ;Ori  ;05 06 52.0 -03 20 37 ;IR   ;EC   ;   13.0;   390;     ;  6.49;NGC 1788 Cl, Alessi 196                       ;AWG is AKARI-WISE-Gaia (Alessi, 2018)
AWG 2                 ;                 ;Eri  ;05 07 22.6 -06 16 03 ;IR   ;EC   ;   18.0;   296;     ;      ;                                              ;On the top of witch's head neb (IC 2118) 7 vf *s G 15.7..19.1, clump in IC 2118 Assoc
AWG 3                 ;                 ;Ori  ;05 20 38.0 -05 49 22 ;Op   ;EC   ;   26.0;   388;     ;      ;Zannin J0520-05                               ;
AWG 4                 ;Bica 285         ;Ori  ;05 29 24.0 +11 52 02 ;Op   ;EC   ;    7.0;   418;     ;      ;                                              ;In Lambda Ori Association
AWG 5                 ;Bica 286         ;Ori  ;05 31 23.6 +12 10 05 ;Op   ;EC   ;   10.0;      ;     ;      ;                                              ;
AWG 6                 ;                 ;Lep  ;05 58 42.5 -13 28 59 ;IR   ;EC   ;   21.0;   673;     ;      ;                                              ;Pair with Mamajek 10 - sep 39', in Dn Dobashi 5027, not vis optic
AWG 7                 ;Cha II Assoc     ;Cha  ;13 05 04.9 -77 23 47 ;IR   ;YAs  ;  120.0;   199;     ;  6.60;Theia 29                                      ;Shows nicely in Gaia DR2 VPD, 37* G 11..18, sharply defined
Aladin 1              ;                 ;Cru  ;12 15 20.3 -60 22 18 ;Op   ;***  ;    0.9;      ;     ;      ;                                              ;
Aladin 10             ;                 ;Cru  ;12 23 14.0 -61 38 17 ;Op   ;***  ;    0.6;      ;     ;      ;                                              ;
Aladin 11             ;                 ;Cru  ;12 34 23.5 -61 11 36 ;IR   ;OC   ;    8.0;  2370;     ;  7.81;VX Cru                                        ;Near Cepheid VX Cru
Aladin 12             ;                 ;Cru  ;12 11 45.0 -62 51 46 ;Op   ;***  ;    2.4;      ;     ;      ;                                              ;
Aladin 13             ;La Serena 25     ;Cru  ;12 12 52.5 -62 44 54 ;Op   ;OC   ;    1.8;  5200;     ;      ;                                              ;
Aladin 14             ;                 ;Cru  ;12 14 18.0 -61 01 42 ;Op   ;***  ;   14.0;      ;     ;      ;                                              ;
Aladin 15             ;                 ;Cru  ;11 58 12.2 -63 33 51 ;Op   ;***  ;    3.2;      ;     ;      ;                                              ;
Aladin 16             ;                 ;Cru? ;---------LOST------- ;Op   ;***  ;    0.0;      ;     ;      ;                                              ;I lost the data of this object. Most probably some asterism in Crux
Aladin 17             ;UBC 282          ;Cru  ;12 00 30.0 -60 29 06 ;Op   ;OC   ;   18.0;  3521;     ;  8.80;FoF 1581                                      ;       
Aladin 18             ;UBC 522          ;Cru  ;12 42 49.8 -61 22 15 ;Op   ;OC   ;    9.0;  2280; 0.69;  7.18;                                              ;
Aladin 19             ;                 ;Pup  ;07 48 12.7 -36 08 48 ;Op   ;OC   ;    1.8; 13900;     ;      ;ALS 795                                       ;
Aladin 2              ;VVVX CL 3        ;Cru  ;12 17 06.0 -60 13 16 ;Op   ;EC   ;    1.5;  4200; 2.85;      ;Magakian 572 Cl                               ;Aladin 1-18 are cl candidates disc during visual inspection of nother clusters using Aladin
Aladin 20             ;?UBC 238         ;Pup  ;07 48 39.4 -33 50 36 ;Op   ;OC   ;    3.6;  4270;     ;      ;ALS 802                                       ;
Aladin 3              ;                 ;Cru  ;12 32 19.8 -61 43 16 ;Op   ;EC   ;   15.0;  3520;     ;      ;                                              ;Assoc to neb Bran 389?
Aladin 4              ;                 ;Cru  ;12 32 49.4 -61 53 18 ;Op   ;***  ;    2.8;      ;     ;      ;                                              ;
Aladin 5              ;                 ;Cru  ;12 46 25.0 -64 11 28 ;Op   ;EC   ;    1.2;  2960;     ;      ;Magakian 588 Cl                               ;
Aladin 6              ;                 ;Cru  ;12 48 42.8 -62 57 51 ;Op   ;OC   ;    7.0;  3560;     ;      ;                                              ;
Aladin 7              ;                 ;Cru  ;12 53 08.0 -62 42 28 ;Op   ;OC   ;    2.2;  2700;     ;      ;                                              ;
Aladin 8              ;                 ;Cru  ;11 56 45.0 -59 41 57 ;Op   ;***  ;    2.2;      ;     ;      ;                                              ;Small, but brght and detached circular group, Gaia-TGAS: not a cluster
Aladin 9              ;Gulliver 58      ;Cru  ;12 46 03.6 -61 57 54 ;Op   ;OC   ;    8.9;  2344; 1.05;  8.70;                                              ;
Aladin A  (21)        ;                 ;Sct  ;18 41 37.0 -06 28 00 ;Op   ;OC   ;    4.4;  3610;     ;      ;                                              ;
Aladin B  (22)        ;UBC 103          ;Sct  ;18 42 30.8 -06 36 12 ;Op   ;OC   ;   12.3;  3484;     ;  6.70;FoF 297                                       ;
Aladin C  (23)        ;BDSB 8           ;Sct  ;18 25 08.0 -13 16 24 ;Op   ;OC   ;   12.9;  2101;     ;  6.60;FoF 2115                                      ;Optical Grp forming a very close pair to an IR embedded cluster BDSB 8. Are they the same object?
Aladin D  (24)        ;                 ;Sct  ;18 35 07.8 -08 05 20 ;Op   ;OC   ;    8.0;  2510;     ;      ;Alpha Sct North Cl                            ;Just N of Alpha Sct. centered on a string of 6*
Aladin E  (25)        ;                 ;Sct  ;18 22 53.8 -13 10 08 ;Op   ;OC   ;    5.5;  2040;     ;      ;ALS 4988 Cl                                   ;Around OB star ALS 4988. Poor, with only 8*, but with very good agreement in PMs and pi
Aladin F  (26)        ;Ruprecht 170     ;Sct  ;18 25 20.4 -09 59 42 ;Op   ;OC   ;   15.0;  2033; 1.21;  6.00;                                              ;
Aladin G  (27)        ;                 ;Sct  ;18 29 26.0 -11 55 44 ;Op   ;***  ;   22.0;      ;     ;      ;                                              ;
Aladin H  (28)        ;                 ;Ser  ;18 18 12.9 -15 36 03 ;Op   ;***  ;    5.0;      ;     ;      ;                                              ;
Aladin J0429-8445     ;                 ;Men  ;04 29 55.0 -84 45 06 ;Op   ;***  ;   18.0;      ;     ;      ;                                              ;
Aladin J1410-8843     ;                 ;Oct  ;14 10 00.0 -88 43 30 ;Op   ;***  ;   57.0;      ;     ;      ;                                              ;Found using Aladin Lite. Large, very loose cl. Kin: -8.7+-3.9, -2.9+-3.1, 15*, used (McDonald+, 2017) and (Pickles+, 2010) to calculate E(B-V)
Aladin J1658+1819     ;                 ;Her  ;16 57 57.5 +18 19 48 ;Op   ;***  ;    3.0;      ;     ;      ;                                              ;Obvious little group of 22 stars
Aladin J1807-2126     ;                 ;Sgr  ;18 07 11.3 -21 26 38 ;Op   ;***  ;    5.0;      ;     ;      ;                                              ;
Aladin J1820-0358     ;                 ;SerCd;18 20 26.0 -03 58 57 ;Op   ;***  ;    3.0;      ;     ;      ;                                              ;
Aladin J1843-0351     ;                 ;Aql  ;18 43 15.8 -03 51 51 ;Op   ;***  ;    2.6;      ;     ;      ;                                              ;
Alessi 1              ;Alessi 1         ;Cas  ;00 53 22.3 +49 32 10 ;Op   ;OC   ;   29.9;   705; 0.10;  8.94;LeDrew 1, Casado 1, Theia 1254, UPK 245       ;Also Saloranta-Holmstrom 1, TC 0053+4934, Santa 21, Kupco 8
Alessi 10             ;Alessi 10        ;Aql  ;20 04 55.9 -10 33 18 ;Op   ;OC   ;   32.0;   442; 0.14;  7.75;LeDrew 3, Theia 535, Alessi J2004-1030        ;
Alessi 100            ;                 ;Aur  ;05 47 53.0 +35 14 28 ;Op   ;OC   ;   22.0;   756;     ;      ;                                              ;
Alessi 101            ;                 ;Cen  ;13 44 44.0 -49 49 27 ;Op   ;***  ;   38.0;      ;     ;      ;                                              ;
Alessi 102            ;UBC 54           ;Per  ;04 18 52.8 +46 26 24 ;Op   ;OC   ;   24.0;  1140; 0.31;  8.40;                                              ;
Alessi 103            ;                 ;Tau  ;05 45 48.0 +22 04 53 ;Op   ;***  ;   21.0;      ;     ;      ;                                              ;
Alessi 104            ;                 ;TrA  ;16 27 49.0 -65 45 16 ;Op   ;***  ;   59.0;      ;     ;      ;                                              ;
Alessi 105            ;?Theia 256       ;Cnc  ;08 16 00.0 +07 00 00 ;Op   ;OC   ;  180.0;   538;     ;      ;                                              ;very tight, fine VPD!
Alessi 106            ;                 ;CMa  ;06 49 41.0 -24 06 41 ;Op   ;HM?  ;    5.0;   214; 0.02;  8.75;                                              ;Only 5*, but w similar PMs and Pars, no more additional stars found even with r<30 and G<17
Alessi 107            ;                 ;Sex  ;10 29 29.0 -02 44 21 ;Op   ;***  ;  420.0;      ;     ;      ;Beta Sex, Delta Sex                           ;Includes Beta, Delta and 25 Sextantis
Alessi 108            ;                 ;Del  ;20 29 47.8 +19 28 47 ;Op   ;OC?  ;   48.0;   553;     ;      ;                                              ;9* to G<15 remnant?
Alessi 109            ;                 ;UMa  ;11 26 49.7 +63 50 15 ;Op   ;MG?  ;  280.0;   244; 0.09;  8.50;                                              ;Obvious in GDR2 VPD, good RVs too!
Alessi 11             ;Alessi 11        ;Del  ;20 21 16.1 +18 23 24 ;Op   ;***  ;   18.6;      ;     ;      ;                                              ;
Alessi 110            ;                 ;CMi  ;07 10 19.0 +07 39 44 ;Op   ;***  ;   38.0;      ;     ;      ;                                              ;
Alessi 111            ;                 ;Lac  ;22 02 06.0 +39 20 57 ;Op   ;***  ;   54.0;      ;     ;      ;                                              ;
Alessi 112            ;                 ;Pup  ;08 08 44.0 -42 04 22 ;Op   ;***  ;   15.0;      ;     ;      ;                                              ;
Alessi 113            ;Gulliver 9       ;Vel  ;08 27 59.5 -47 55 44 ;Op   ;OC   ;  116.3;   497; 0.05;  7.15;Vela Ring I                                   ;
Alessi 114            ;Theia 231        ;Vel  ;10 34 49.0 -47 17 14 ;Op   ;OC   ;   91.6;   335;     ;  7.95;UPK 561                                       ;
Alessi 115            ;                 ;Her  ;18 32 39.0 +17 33 00 ;Op   ;***  ;   31.0;      ;     ;      ;                                              ;
Alessi 116            ;UPK 84           ;Vul  ;20 40 52.5 +20 10 30 ;Op   ;OC   ;   27.5;   904;     ;  8.75;Theia 1177, UBC 131                           ;
Alessi 117            ;                 ;Cap  ;20 23 32.0 -10 27 23 ;Op   ;***  ;   14.0;      ;     ;      ;                                              ;
Alessi 118            ;Gulliver 47      ;Mon  ;07 11 43.7 +00 49 37 ;Op   ;OC   ;   19.3;  1922; 0.18;  8.57;                                              ;
Alessi 119            ;                 ;Her  ;18 28 15.0 +22 46 34 ;Op   ;***  ;   26.0;      ;     ;      ;                                              ;
Alessi 12             ;Alessi 12        ;Vul  ;20 43 30.0 +23 52 16 ;Op   ;OC   ;   81.8;   542; 0.07;  8.09;LeDrew 2, Theia 254, UPK 95, FoF 2391         ;
Alessi 120            ;                 ;Del  ;20 32 57.0 +18 35 07 ;Op   ;***  ;   20.0;      ;     ;      ;                                              ;
Alessi 121            ;                 ;Oph  ;17 35 51.0 +05 55 05 ;Op   ;***  ;   40.0;      ;     ;      ;                                              ;
Alessi 122            ;                 ;Mon  ;06 36 21.0 +10 54 19 ;Op   ;EC?  ;    3.0;  3850;     ;      ;                                              ;
Alessi 123            ;                 ;CMi  ;07 44 32.0 +10 16 52 ;Op   ;***  ;   26.0;      ;     ;      ;                                              ;
Alessi 124            ;                 ;Cha  ;10 24 43.0 -80 58 55 ;Op   ;***  ;  260.0;      ;     ;      ;                                              ;
Alessi 125            ;                 ;Cen  ;14 26 57.0 -62 26 14 ;Op   ;***  ;   36.0;      ;     ;      ;                                              ;
