Name               ;RA_J2000_deg ;De_J2000_deg  ;Type;Rad_deg      ;Dst_pc; E_B-V; Log_t;pmRA_mas;pmDe_mas;Reference          ;Aliases_and_associated_objects
2MASS-GC_1         ;272.090833333;-19.8297222222;GC  ;0.0375000000 ;  3760;      ; 10.10;  -0.98 ;  -2.04 ;Alessi GEDR3       ;FSR_40, Hurt_1
2MASS-GC_2         ;272.402083333;-20.7788888889;GC  ;0.1050000000 ;  4420;  2.00; 10.00;  -1.97 ;  -3.72 ;HolgerBaumgardt    ;Hurt_2
30_Dor             ;84.6750000000;-69.1005555556;SSC ;0.0291666667 ; 52500;      ;  6.48;   1.44 ;   0.74 ;Alessi GEDR3       ;
ABP_1              ;315.104166667;+52.5044444444;OB  ;0.1000000000 ;   550;      ;      ;   0.73 ;  -3.01 ;Alessi GEDR3       ;Braid_neb, V2495_Cyg, HH_448
AM-3               ;357.245833333;-72.9452777778;OC  ;0.0075000000 ; 61940;      ;  9.72;   0.46 ;  -1.29 ;Alessi GEDR3       ;
ASCC_1             ;1.75416666700;+62.3594444444;OC  ;0.2533333333 ;  3204;  0.32;  8.33;  -1.88 ;  -0.91 ;Hunt 2021          ;
ASCC_10            ;51.8700000000;+34.9811111111;OC  ;0.5583333333 ;   685;  0.17;  8.51;  -1.74 ;  -1.37 ;Cantat-Gaudin 2020b;Alessi-Teutsch_9, Theia_557, UPK_332
ASCC_100           ;285.435416667;+33.5258333333;OC  ;0.1733333333 ;   362;  0.02;  7.98;   2.08 ;  -3.15 ;Hunt 2021          ;UPK_83
ASCC_101           ;288.399166667;+36.3688888889;OC  ;0.3716666667 ;   402;  0.02;  8.62;   0.93 ;   1.29 ;Cantat-Gaudin 2020b;Alessi_J1913+3619, LeDrew_6, Theia_445, UPK_97
ASCC_104           ;294.742083333;+18.6650000000;OC  ;0.4000000000 ;   902;      ;  7.71;  -0.73 ;  -5.56 ;Alessi GEDR3       ;Theia_745
ASCC_105           ;295.547916667;+27.3661111111;OC  ;0.6483333333 ;   561;  0.11;  7.99;   1.46 ;  -1.64 ;Cantat-Gaudin 2020b;FoF_2423, HD_186518, TC_1943+2717, Theia_544, UPK_81
ASCC_107           ;297.164166667;+21.9869444444;OC  ;0.1741666667 ;   902;  0.44;  8.04;  -0.15 ;  -5.16 ;Cantat-Gaudin 2020b;TC_1948+2157, Theia_205, UPK_75
ASCC_108           ;298.305833333;+39.3488888889;OC  ;0.5366666667 ;  1193;  0.11;  8.33;  -0.52 ;  -1.69 ;Cantat-Gaudin 2020b;FoF_2349, Theia_3446
ASCC_11            ;53.0558333330;+44.8561111111;OC  ;0.3116666667 ;   876;  0.23;  8.50;   0.93 ;  -3.03 ;Cantat-Gaudin 2020b;FoF_2205, Santa_33, TC_0332+4450, Theia_152, UPK_316
ASCC_110           ;300.742083333;+33.5280555556;OC  ;0.2033333333 ;  2012;  0.19;  8.77;   0.27 ;  -3.13 ;Cantat-Gaudin 2020b;FoF_1734, FoF_1735, Theia_3854
ASCC_111           ;302.890833333;+37.5150000000;OC  ;0.5366666667 ;   858;  0.25;  7.74;  -1.15 ;  -1.52 ;Cantat-Gaudin 2020b;Desvoivres_4, FoF_2341, Theia_196, UPK_107
ASCC_113           ;317.932916667;+38.6380555556;OC  ;0.5291666667 ;   568;  0.03;  8.46;   0.80 ;  -3.68 ;Cantat-Gaudin 2020b;FoF_2406, Theia_461, UPK_123
ASCC_114           ;324.990000000;+53.9969444444;OC  ;0.2158333333 ;   938;  0.29;  7.75;  -3.72 ;  -3.42 ;Cantat-Gaudin 2020b;Alessi_J2138+5347, FoF_2248, Santa_200, Theia_296, UPK_154
ASCC_115           ;329.280000000;+51.5580555556;OC  ;0.2500000000 ;   763;  0.20;  8.35;  -0.55 ;  -0.54 ;Cantat-Gaudin 2020b;Theia_191, UPK_158
ASCC_116           ;329.625000000;+54.4900000000;OC  ;0.1400000000 ;  4000;      ;      ;  -2.63 ;  -2.49 ;Alessi GEDR3       ;
