No proeminent cluster seen in any survey (Aladin + UKIDSS)

Alessi 314          Aql  18 48 41.9 -01 10 09  IR  EC      0.5   5464                 -1.97   -4.43  VLBI                Spitzer J1848-0110
Alessi 315          Aql  18 50 31.0 -00 01 58  IR  EC      1.4   9709                 -2.94   -6.07  VLBI                Spitzer J1850-0001
Alessi 316          Aql  19 01 33.5 +04 54 19  IR  OC      1.6   1521                                selected non-Gaia   Spitzer J1901+0454
BDB 27              Aql  19 10 13.0 +09 06 16  IR  EC      0.6  11110          6.18   -2.88   -5.41  VLBI                
BDSB 134            Aql  19 13 27.0 +10 54 27  IR  EC      1.2   4400                                selected non-Gaia   Lockman G44.12+0.14
Bica 82             Aql  18 52 14.6 +00 24 54  IR  EC      4.0   8850                 -2.48   -5.36  VLBI                
G30.78+0.20         Aql  18 46 48.1 -01 48 54  IR  EC      0.5   7143                 -1.85   -3.91  VLBI                
G30.97-0.14         Aql  18 48 22.0 -01 48 31  IR  EC      0.4   3401                 -2.14   -3.82  VLBI                
G31.24-0.11         Aql  18 48 45.1 -01 33 13  IR  EC      0.5  13158                 -2.80   -5.54  VLBI                
G31.41+0.30         Aql  18 47 34.3 -01 12 47  IR  EC      0.5   3745                 -1.58   -5.82  VLBI                
G33.64-0.22         Aql  18 53 32.6 +00 31 39  IR  EC      0.4   7634                 -3.10   -6.27  VLBI                
G38.11-0.22         Aql  19 01 44.2 +04 30 37  IR  EC      0.8   4132                 -2.79   -5.25  VLBI                
G3CC 61             Aql  18 53 18.0 +01 25 26  IR  EC      1.5   2941  1.710           0.12   -4.18  VLBI                
G3CC 63             Aql  19 11 39.0 +08 46 40  IR  EC      0.9   7692                 -3.03   -6.56  VLBI                
G3CC 64             Aql  19 14 26.4 +09 22 34  IR  EC      0.6   8264                 -2.75   -6.43  VLBI                
G40.42+0.70         Aql  19 02 39.6 +06 59 09  IR  EC      0.4  12821                 -2.95   -5.48  VLBI                
G40.62-0.13         Aql  19 06 01.6 +06 46 36  IR  EC      0.5  12500                 -2.69   -5.60  VLBI                
