AH03 J0822-36.4
ASCC 102
ASCC 109
ASCC 119
ASCC 120
ASCC 121
ASCC 122
ASCC 14
ASCC 15
ASCC 17
ASCC 2
ASCC 24
ASCC 25
ASCC 26
ASCC 27
ASCC 28
ASCC 3
ASCC 33
ASCC 34
ASCC 35
ASCC 37
ASCC 38
ASCC 39
ASCC 4
ASCC 43
ASCC 46
ASCC 47
ASCC 48
ASCC 52
ASCC 53
ASCC 54
ASCC 55
ASCC 56
ASCC 57
ASCC 7
ASCC 70
ASCC 72
ASCC 74
ASCC 76
ASCC 78
ASCC 8
ASCC 81
ASCC 82
ASCC 83
ASCC 84
ASCC 91
ASCC 98
Alessi 11
Alessi 14
Alessi 4
Andrews-Lindsay 5
Antalova 1
Antalova 3
Antalova 4
B 217
B 30
B 35
BDSB 102
BDSB 105
BDSB 106
BDSB 111
BDSB 114
BDSB 117
BDSB 124
BDSB 125
BDSB 13
BDSB 141
BDSB 143
BDSB 157
BDSB 164
BDSB 19
BH 106
BH 155
BH 197
BH 214
BH 34
BH 58
BH 91
Barkhatova 2
Basel 12
Basel 14
Bica 4
Bica 5
Bica 6
Biurakan 1
C1331-622
Cam OB3
Carraro 1
Cir OB1
Collinder 111
Collinder 196
Collinder 21
Collinder 213
Collinder 258
Collinder 275
Collinder 285
Collinder 33
Collinder 333
Collinder 428
Collinder 465
Collinder 468
Collinder 471
Collinder 62
Collinder 65
Collinder 91
Collinder 96
Cyg OB4
Czernik 11
Czernik 7
DB 13
DB 24
DB 28
DB 30
DB 33
DB 44
DB 45
DB2001 15
DB2001 16
DB2001 17
DB2001 18
DB2001 20
DB2001 22
DB2001 41
DB2001 42
DB2001 7
DBSB 103
DBSB 120
DBSB 153
DBSB 154
DBSB 174
DBSB 175
DBSB 177
DBSB 83
Dias 4
Dias 7
Dias 8
Dol-Dzim 10
Dol-Dzim 11
Dol-Dzim 2
Dol-Dzim 3
Dol-Dzim 4
Dol-Dzim 6
Dol-Dzim 8
Dol-Dzim 9
Dolidze 12
Dolidze 13
Dolidze 17
Dolidze 19
Dolidze 20
Dolidze 21
Dolidze 22
Dolidze 23
Dolidze 24
Dolidze 26
Dolidze 27
Dolidze 28
Dolidze 36
Dolidze 37
Dolidze 38
