Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
10 Aqr                        ;Alessi J2100-0535             ;     ;      ;     ;        ;
10 LMi                        ;TC 0934+3623                  ;     ;      ;     ;        ;
10 Lac                        ;Kernya 20                     ;     ;      ;     ;        ;
11 Cyg                        ;Saloranta J1936+3700          ;     ;      ;     ;        ;
11 Cyg                        ;TC 1936+3700                  ;     ;      ;     ;        ;
12 Tri                        ;TC 0228+2947                  ;     ;      ;     ;        ;
15 Sge                        ;Streicher 67                  ;     ;      ;     ;        ;
19 Oph                        ;Kernya 59                     ;     ;      ;     ;        ;
2 Lyn                         ;Kernya 94                     ;     ;      ;     ;        ;
20 Vul                        ;NGC 6885                      ;     ;      ;     ;        ;
21 Lyn                        ;Kernya 95                     ;     ;      ;     ;        ;
22 Lyn                        ;TC 0730+4947                  ;     ;      ;     ;        ;
22Ori-2                       ;FoF 2376                      ;   20;    63;    5;  25.000;   7.937
25Ori-1                       ;ASCC 16                       ;   55;   175;   37;  67.273;  21.143
25Ori-1                       ;FoF 2367                      ;   55;   397;   51;  92.727;  12.846
25Ori-2                       ;Escorial 3                    ;   28;    23;    5;  17.857;  21.739
25Ori-2                       ;FoF 2371                      ;   28;    98;   14;  50.000;  14.286
25Ori-3                       ;FoF 2367                      ;   12;   397;    6;  50.000;   1.511
25Ori-4                       ;ASCC 16                       ;   15;   175;    9;  60.000;   5.143
25Ori-4                       ;ASCC 21                       ;   15;    90;    2;  13.333;   2.222
25Ori-4                       ;FoF 2367                      ;   15;   397;   10;  66.667;   2.519
25Ori-4                       ;FoF 2369                      ;   15;   289;    3;  20.000;   1.038
25Ori-5                       ;Escorial 3                    ;    9;    23;    1;  11.111;   4.348
25Ori-5                       ;FoF 2367                      ;    9;   397;    4;  44.444;   1.008
25Ori-5                       ;FoF 2371                      ;    9;    98;    1;  11.111;   1.020
25Ori-5                       ;FoF 2376                      ;    9;    63;    1;  11.111;   1.587
25Ori-7                       ;ASCC 16                       ;   12;   175;    2;  16.667;   1.143
25Ori-7                       ;FoF 2367                      ;   12;   397;    4;  33.333;   1.008
26 Cep                        ;UPK 194                       ;     ;      ;     ;        ;
28 Peg                        ;Raymond 11                    ;     ;      ;     ;        ;
28 Peg                        ;TC 2210+2059                  ;     ;      ;     ;        ;
2MASS-GC 1                    ;FSR 40                        ;     ;      ;     ;        ;
2MASS-GC 1                    ;Hurt 1                        ;     ;      ;     ;        ;
2MASS-GC 2                    ;Hurt 2                        ;     ;      ;     ;        ;
2MASS-GC 3                    ;FSR 1735                      ;     ;      ;     ;        ;
2MASS-GC 3                    ;SHU 71                        ;     ;      ;     ;        ;
2MASS-GC 4                    ;FSR 1767                      ;     ;      ;     ;        ;
2MASX J0416+6055              ;Camargo 800                   ;     ;      ;     ;        ;
32 Ori                        ;Mamajek 3                     ;     ;      ;     ;        ;
37 Asterism                   ;NGC 2169                      ;     ;      ;     ;        ;
4-5 Vul                       ;Collinder 399                 ;     ;      ;     ;        ;
41 Sex                        ;Kernya 3                      ;     ;      ;     ;        ;
43 Per                        ;TC 0355+5038                  ;     ;      ;     ;        ;
43 Sgr                        ;Alessi J1917-1857             ;     ;      ;     ;        ;
47 Tuc                        ;ESO 50-9                      ;     ;      ;     ;        ;
47 Tuc                        ;NGC 104                       ;     ;      ;     ;        ;
9-12 Gem Moving Cluster       ;Collinder 89                  ;     ;      ;     ;        ;
A1053-6435                    ;Skiff J1053-6435              ;     ;      ;     ;        ;
AA Nor                        ;Collinder 292                 ;     ;      ;     ;        ;
AB Dor                        ;Theia 301                     ;     ;      ;     ;        ;
AB12 1                        ;LDN 1641W                     ;     ;      ;     ;        ;
ABP 1                         ;UPK 144                       ;     ;      ;     ;        ;
ADS 13292                     ;FSR 194                       ;     ;      ;     ;        ;
ADS 13292                     ;Teutsch 8                     ;     ;      ;     ;        ;
ADS 13626                     ;IC 4996                       ;     ;      ;     ;        ;
ADS 16795                     ;AR Cas                        ;     ;      ;     ;        ;
ADS 6366                      ;Herschel 1                    ;     ;      ;     ;        ;
AFF 5                         ;NGC 1901                      ;     ;      ;     ;        ;
AFGL 2004                     ;Quintuplet                    ;     ;      ;     ;        ;
AFGL 2584                     ;BDB 39                        ;     ;      ;     ;        ;
AFGL 2584                     ;Sh2-106                       ;     ;      ;     ;        ;
AFGL 333                      ;BDB 111                       ;     ;      ;     ;        ;
AFGL 4029                     ;BDB 126                       ;     ;      ;     ;        ;
AFGL 4029                     ;IRAS 02575+6017               ;     ;      ;     ;        ;
AFGL 4029                     ;SPITZER-W5-C1                 ;     ;      ;     ;        ;
AFGL 437                      ;BDB 128                       ;     ;      ;     ;        ;
AFGL 490                      ;BDB 130                       ;     ;      ;     ;        ;
AFGL 490                      ;Theia 1713                    ;     ;      ;     ;        ;
AFGL 5066                     ;BDB 104                       ;     ;      ;     ;        ;
AFGL 5066                     ;BDSB 162                      ;     ;      ;     ;        ;
AFGL 5085                     ;BDB 117                       ;     ;      ;     ;        ;
AFGL 5142                     ;BDB 160                       ;     ;      ;     ;        ;
AFGL 5142                     ;KKC 7                         ;     ;      ;     ;        ;
AFGL 5157                     ;BDB 162                       ;     ;      ;     ;        ;
AFGL 5157                     ;Froebrich Cl 86               ;     ;      ;     ;        ;
AFGL 5157                     ;KKC 8                         ;     ;      ;     ;        ;
AFGL 5173                     ;BDB 183                       ;     ;      ;     ;        ;
AFGL 5173                     ;FSR 910                       ;     ;      ;     ;        ;
AFGL 5173                     ;Hodapp 3                      ;     ;      ;     ;        ;
AFGL 5173                     ;KKC 13                        ;     ;      ;     ;        ;
AFGL 5180                     ;BDB 173                       ;     ;      ;     ;        ;
AFGL 5180                     ;CSS 2                         ;     ;      ;     ;        ;
AFGL 5180                     ;Hodapp 6                      ;     ;      ;     ;        ;
AFGL 5182                     ;BDB 171                       ;     ;      ;     ;        ;
AFGL 5182                     ;CSS 1B                        ;     ;      ;     ;        ;
AFGL 5182                     ;KKC 15                        ;     ;      ;     ;        ;
AFGL 5216                     ;BDB 238                       ;     ;      ;     ;        ;
AFGL 5216                     ;Hodapp 15                     ;     ;      ;     ;        ;
AFGL 6366-N                   ;BDB 174                       ;     ;      ;     ;        ;
AFGL 6366-N                   ;CSS 4B                        ;     ;      ;     ;        ;
AFGL 6366-S                   ;BDB 175                       ;     ;      ;     ;        ;
AFGL 6366-S                   ;CSS 4A                        ;     ;      ;     ;        ;
AFGL 6366-S                   ;Hodapp 5                      ;     ;      ;     ;        ;
AFGL 6366-S                   ;KKC 14                        ;     ;      ;     ;        ;
AFGL 961                      ;BDB 210                       ;     ;      ;     ;        ;
AFGL 961                      ;Hodapp 10                     ;     ;      ;     ;        ;
AFGL 961                      ;PL 6                          ;     ;      ;     ;        ;
AFGL 961                      ;PL97 6                        ;     ;      ;     ;        ;
AFGL 961                      ;Phelps-Lada 6                 ;     ;      ;     ;        ;
AFGL 961                      ;RMC 6                         ;     ;      ;     ;        ;
AG 1                          ;Arce-Goodman 1                ;     ;      ;     ;        ;
AG 1                          ;BDB 148                       ;     ;      ;     ;        ;
AG Car                        ;ASCC 63                       ;     ;      ;     ;        ;
AH03 J0748-26.9               ;FSR 1315                      ;     ;      ;     ;        ;
AH03 J0822-36.4               ;Lindoff 1                     ;     ;      ;     ;        ;
AH03 J1725-34.4               ;BH 227                        ;     ;      ;     ;        ;
AH03 J1725-34.4               ;ESO 392-11                    ;     ;      ;     ;        ;
AH03 J1725-34.4               ;G353.1+0.6                    ;     ;      ;     ;        ;
ALS 4988                      ;Aladin E                      ;     ;      ;     ;        ;
ALS 6433                      ;Mamajek 7                     ;     ;      ;     ;        ;
AM 0430-392                   ;Arp-Madore 5                  ;     ;      ;     ;        ;
AM 0601-603                   ;ESO 121-3                     ;     ;      ;     ;        ;
AM 1353-265                   ;Arp-Madore 4                  ;     ;      ;     ;        ;
AR Cas                        ;ADS 16795                     ;     ;      ;     ;        ;
AR Cas                        ;Mamajek 8                     ;     ;      ;     ;        ;
AS 353                        ;IRAS 19181+1056               ;     ;      ;     ;        ;
ASCC 1                        ;FoF 1314                      ;  107;   163;   27;  25.234;  16.564
ASCC 1                        ;FoF 1316                      ;  107;   104;   14;  13.084;  13.462
ASCC 1                        ;Theia 3832                    ;  107;   203;   14;  13.084;   6.897
ASCC 10                       ;Alessi-Teutsch 9              ;     ;      ;     ;        ;
ASCC 10                       ;Theia 557                     ;     ;      ;     ;        ;
ASCC 10                       ;Theia 557                     ;   65;    52;   27;  41.538;  51.923
ASCC 10                       ;UPK 332                       ;     ;      ;     ;        ;
ASCC 100                      ;Theia 73                      ;   14;  3081;   14; 100.000;   0.454
ASCC 100                      ;UPK 83                        ;     ;      ;     ;        ;
ASCC 101                      ;Alessi J1913+3619             ;     ;      ;     ;        ;
