Designation    | Sequence   | Published | First Author   | Bibcode             | Title
-------------- | ---------- | --------- | -------------- | ------------------- | --------------------------------------------------------------------------------------------------------------------------------
OSC            |            | 2015/11   | Glushkova      | 2015BaltA..24..360G | A search for new open clusters hosting cepheids
RSG            | 1-9        | 2016/10   | Röser          | 2016A&A...595A..22R | Nine new open clusters within 500 pc from the Sun
OPD            | 0-4554     | 2017/06   | Oh             | 2017AJ....153..257O | Comoving Stars in Gaia DR1: An Abundance of Very Wide Separation Comoving Pairs
Loktin-Popova  | 1-55A      | 2017/07   | Loktin         | 2017AstBu..72..257L | Updated version of the 'homogeneous catalog of open cluster parameters'
Gaia           | 1-2        | 2017/09   | Koposov        | 2017MNRAS.470.2702K | Gaia 1 and 2. A pair of new Galactic star clusters
<APOGEE 6D>    |            | 2018/09   | Kounkel        | 2018AJ....156...84K | The APOGEE-2 Survey of the Orion Star Forming Complex II: Six-dimensional structure
Gulliver       | 1-60       | 2018/10   | Cantat-Gaudin  | 2018A&A...618A..93C | A Gaia DR2 view of the Open Cluster population in the Milky Way
UBC            | 1-32       | 2018/10   | Castro-Ginard  | 2018A&A...618A..59C | A new method for unveiling open clusters in Gaia. New nearby open clusters confirmed by DR2
BBJ            | 1-6        | 2018/11   | Beccari        | 2018MNRAS.481L..11B | A sextet of clusters in the Vela OB2 region revealed by Gaia
NEST           | 1-20       | 2018/11   | Joncour        | 2018A&A...620A..27J | Multiplicity and clustering in Taurus star forming region. II. From ultra-wide pairs to dense NESTs
Bica           | 7-649      | 2019/01   | Bica           | 2019AJ....157...12B | A Multi-band Catalog of 10978 Star Clusters, Associations, and Candidates in the Milky Way
Vel Ring       | A-K        | 2019/01   | Cantat-Gaudin  | 2019A&A...621A.115C | A ring in a shell: the large-scale 6D structure of the Vela OB2 complex
UCL            | 1-6        | 2019/03   | Damiani        | 2019A&A...623A.112  | The stellar population of Sco OB2 revealed by Gaia DR2 data
