Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
AH03 J0822-36.4                         751     0.13    6.95    Bukowiecki L., et al.            2011, AcA 62
AH03 J0822-36.4                        1634     0.42    8.915   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
AH03 J1725-34.4                         295     1.53    6.85    Bukowiecki L., et al.            2011, AcA 62
AH03 J2011+26.7                        2592     0.88    7.35    Bukowiecki L., et al.            2011, AcA 62
AM 1                                 118900                     Baumgart                         2021, website
AM 4                                  29010                     Baumgart                         2021, website
ASCC 1                                 1600     0.49    8.406   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 10                                 700     0.10    8.717   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 100                                350     0.02    7.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 100                                486.1                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 101                                363     0.00    8.620   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 102                               1500     0.00    8.890   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 103                                841     0.00    8.390   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 104                                774     0.33    7.710   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 105                                494     0.10    7.910   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 106                                525     0.31    8.420   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 107                                672     0.20    8.045   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 108                               1039     0.05    8.425   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 109                                479     0.00    8.125   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 11                                 837     0.27    8.345   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 110                                852     0.15    8.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 111                               1580     0.39    6.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 112                                569     0.08    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 113                                501     0.00    7.930   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 113                                800.8                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 114                                590     0.26    7.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 115                                750     0.15    8.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 115                                777.7                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 116                               1500     0.51    7.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 117                               1500     0.18    6.225   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 118                               1033     0.25    7.870   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 119                               1200     0.10    8.791   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 12                                 600     0.15    8.630   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 120                               1500     0.66    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
