Name                Cns RA           Dec         Type    Diam   Dist  E(B-V) Age     pmRA    pmDe  BibCode            
FoF 1006            Car  10 21 36.1 -58 02 28    OC?     16.3   3663         8.83   -6.21    3.59  Liu 2019           
FoF 1003            Car  10 21 54.3 -58 14 09    OC?     16.3   4016         7.94   -5.70    3.19  Liu 2019           
FoF 1004            Car  10 22 29.8 -58 02 50    OC?     14.3   4329         8.77   -5.57    3.15  Liu 2019           
FoF 1008            Car  10 24 17.4 -57 46 01    OC?     13.6   3135         8.70   -5.92    3.17  Liu 2019           
FoF 1005            Car  10 24 20.0 -57 46 23    OC?     13.0   3984         8.80   -5.33    2.98  Liu 2019           
FoF 1002            Car  10 26 14.4 -57 11 34    OC:     19.1   2762         7.80   -7.15    3.64  Liu 2019           
FoF 1026            Car  10 27 50.9 -59 42 06    OC?     11.6   3165         6.60   -5.99    3.00  Liu 2019           
FoF 227             Car  10 28 13.8 -58 42 05    OC?      9.4   4049         9.22   -5.44    2.93  Liu 2019           
FoF 789             Car  10 28 28.7 -60 23 31    OC?     16.3   3906         8.70   -5.78    2.95  Liu 2019           
FoF 797             Car  10 28 57.3 -60 11 33    OC?     13.2   3984         8.90   -5.68    2.87  Liu 2019           
FoF 798             Car  10 29 57.0 -60 06 13    OC?     16.6   4065         8.70   -5.40    2.83  Liu 2019           
FoF 1015            Car  10 32 35.2 -60 01 54    OC?     16.7   3759         9.13   -5.86    2.88  Liu 2019           
FoF 796             Car  10 34 01.9 -60 35 34    OC?     14.9   4274         9.10   -5.17    2.53  Liu 2019           
FoF 1017            Car  10 34 39.5 -59 38 14    OC?     16.0   4202         8.84   -5.65    2.53  Liu 2019           
FoF 1021            Car  10 36 38.5 -60 18 22    spur    17.9   3311         9.10   -5.96    2.83  Liu 2019           
FoF 818             Car  10 36 47.0 -60 47 15    OC?     10.3   4310         6.70   -5.95    2.78  Liu 2019           
FoF 812             Car  10 37 22.1 -60 37 49    OC?     13.2   3460        10.11   -5.48    2.31  Liu 2019           
FoF 799             Car  10 37 25.0 -60 21 12    OC?     19.4   3322         9.10   -5.81    2.52  Liu 2019           
FoF 711             Car  10 39 43.2 -62 01 40    OC?     14.5   4219         8.83   -5.54    2.43  Liu 2019           
FoF 235             Car  10 40 43.3 -60 09 41    OC?     17.3   3922         8.27   -5.54    2.56  Liu 2019           
FoF 713             Car  10 40 47.5 -62 09 43    OC?     15.2   4348         8.92   -5.71    2.54  Liu 2019           
FoF 1048            Car  10 42 24.9 -60 20 10    OC?     12.5   4255         8.27   -5.56    2.65  Liu 2019           
FoF 710             Car  10 42 27.2 -62 02 20    OC?     15.2   4000         8.98   -5.99    2.55  Liu 2019           
FoF 233             Car  10 42 37.5 -60 27 00    OC?     14.6   4608         8.73   -5.61    2.62  Liu 2019           
FoF 1045            Car  10 42 41.8 -60 11 21    OC?     15.1   4367        10.07   -5.60    2.41  Liu 2019           
FoF 1019            Car  10 42 48.2 -58 42 44    OC?     13.1   3774         7.87   -5.62    2.62  Liu 2019           
FoF 810             Car  10 43 42.8 -61 38 23    OC?     13.0   4292         8.92   -5.43    2.33  Liu 2019           
FoF 815             Car  10 46 37.0 -61 38 30    OC?     15.4   4184         6.60   -5.80    2.23  Liu 2019           
FoF 809             Car  10 46 50.8 -61 55 39    OC?     14.6   4329         8.71   -5.24    2.21  Liu 2019           
FoF 1514            Car  10 47 48.4 -58 21 30    OC?     14.3   3937         6.78   -6.50    2.78  Liu 2019           
FoF 816             Car  10 47 55.7 -62 00 12    OC?      8.0   3597         9.31   -5.64    2.30  Liu 2019           
FoF 808             Car  10 49 54.8 -61 59 34    OC?     13.8   4202         6.70   -5.62    2.43  Liu 2019           
FoF 1050            Car  10 49 58.0 -60 41 09    OC?     10.9   4032         8.05   -6.31    2.67  Liu 2019           
