Name               ;RA_J2000_deg ;De_J2000_deg  ;Type;Rad_deg      ;Dst_pc; E_B-V; Log_t;pmRA_mas;pmDe_mas;Reference          ;Aliases_and_associated_objects
AWG_1              ;76.7304166670; -3.3244444444;EC  ;0.0983333333 ;   381;      ;      ;   0.58 ;  -0.98 ;Alessi GEDR3       ;NGC_1788, Alessi_196
AWG_2              ;76.8291666670; -6.2619444444;EC  ;0.1325000000 ;   289;      ;      ;   0.73 ;  -3.68 ;Alessi GEDR3       ;
AWG_5              ;82.8483333330;+12.1680555556;EC  ;0.0833333333 ;   390;      ;      ;   0.73 ;  -0.67 ;Alessi GEDR3       ;Bica_286, HI_Ori, HK_Ori, GN_05.28.8
AWG_6              ;89.6525000000;-13.4966666667;EC  ;0.1733333333 ;   673;      ;      ;  -1.73 ;   1.72 ;Alessi GEDR3       ;
Aladin_3           ;188.082500000;-61.7211111111;OC  ;0.0583333333 ;  3110;      ;  6.34;  -6.50 ;  -0.14 ;Alessi GEDR3       ;
Aladin_5           ;191.604166667;-64.1911111111;EC  ;0.0100000000 ;  3450;      ;      ;  -5.38 ;  -0.68 ;Alessi GEDR3       ;
Aladin_6           ;192.178333333;-62.9641666667;OC  ;0.0583333333 ;  3180;      ;      ;  -5.65 ;  -0.51 ;Alessi GEDR3       ;
Aladin_19          ;117.052916667;-36.1466666667;OC  ;0.0150000000 ;  9000;      ;      ;  -1.14 ;   2.29 ;Alessi GDR2        ;ALS_795
Aladin_20          ;117.164166667;-33.8433333333;OC  ;0.0300000000 ;  3700;      ;      ;  -1.98 ;   3.14 ;Alessi GDR2        ;ALS_802
Aladin_A           ;280.404166667; -6.4666666667;OC  ;0.0366666667 ;  3400;      ;      ;  -1.18 ;  -3.51 ;Alessi GEDR3       ;
Aladin_D           ;278.782500000; -8.0888888889;OC  ;0.0666666667 ;  2270;      ;      ;  -0.04 ;  -1.30 ;Alessi GEDR3       ;
Aladin_E           ;275.724166667;-13.1688888889;OC  ;0.0458333333 ;  1840;      ;      ;   0.39 ;  -1.60 ;Alessi GEDR3       ;ALS_4988
Alessi_65          ;101.083333333; +6.9791666667;OC  ;0.0291666667 ;  4260;      ;      ;  -0.10 ;  -0.55 ;Alessi GEDR3       ;
Alessi_72          ;106.508333333;-16.0563888889;OC  ;0.1000000000 ;  1211;      ;      ;  -3.11 ;   1.77 ;Alessi GEDR3       ;
Alessi_74          ;186.283333333;-65.1119444444;OC  ;0.2000000000 ;  1760;      ;      ;  -5.60 ;  -0.53 ;Alessi GEDR3       ;
Alessi_78          ;132.420833333;-47.5800000000;OB  ;0.3833333333 ;  1970;      ;      ;  -5.03 ;   4.51 ;Alessi GEDR3       ;
Alessi_80_A        ;267.750000000;-38.4750000000;OC  ;0.2416666667 ;  1101;      ;      ;   3.50 ;  -2.35 ;Alessi GEDR3       ;Melnik-Efremov_5, Sco_OB5
Alessi_80_B        ;268.150000000;-38.6333333333;OC  ;0.3000000000 ;  1173;      ;      ;   2.89 ;  -1.76 ;Alessi GEDR3       ;Melnik-Efremov_5, Sco_OB5
Alessi_82          ;197.454166667;-64.6383333333;OC  ;0.2500000000 ;   560;      ;      ; -11.06 ;  -7.23 ;Alessi GEDR3       ;
Alessi_87          ;256.191250000;-51.4116666667;OC  ;0.0500000000 ;  1144;      ;      ;  -0.61 ;  -1.18 ;Alessi GDR2        ;
Alessi_105         ;124.000000000; +7.0000000000;OC  ;1.5000000000 ;   538;      ;      ;  -8.25 ;  -1.30 ;Alessi GEDR3       ;
Alessi_108         ;307.424583333;+19.4733333333;OC  ;0.3750000000 ;   553;      ;  8.20;   3.48 ;  -3.71 ;Alessi GEDR3       ;
Alessi_109         ;172.859583333;+63.8800000000;OC  ;2.1241666667 ;   246;      ;  8.50;  11.72 ;   1.87 ;Alessi GEDR3       ;
Alessi_122         ;99.0875000000;+10.9052777778;EC  ;0.0250000000 ;  3846;      ;      ;  -0.41 ;  -1.03 ;Alessi GDR2        ;ESO-HA_308
Alessi_174         ;106.512500000; -9.4750000000;OC  ;0.1000000000 ;  3333;      ;      ;  -1.04 ;   0.90 ;Alessi GDR2        ;Rouault_7, Santa_75
Alessi_204         ;107.365000000;-12.0550000000;OC  ;0.1550000000 ;  1127;      ;      ;  -3.27 ;   0.98 ;Alessi GEDR3       ;CMa_OB1B
Alessi_J0618+1454  ;94.5375000000;+14.8933333333;OC  ;0.1166666667 ;  2346;      ;      ;  -0.47 ;  -1.88 ;Alessi GEDR3       ;Saloranta_J0618+1454, TYC_743-237
Alessi_J0622+2114  ;95.6083333330;+21.2472222222;OC  ;0.0250000000 ;  3250;      ;      ;  -0.33 ;  -0.14 ;Alessi GEDR3       ;
Alessi_J1121-6059  ;170.462500000;-60.9950000000;OC  ;0.0416666667 ;  3880;      ;      ;  -5.61 ;   1.53 ;Alessi GEDR3       ;Slotegraaf_34
Alessi_J1127-6134  ;171.920833333;-61.5725000000;OC? ;0.2500000000 ;  1940;      ;      ;  -6.86 ;   1.25 ;Alessi GEDR3       ;
Alessi_J1249-6131  ;192.354166667;-61.5200000000;OC  ;0.0175000000 ;  3040;      ;      ;  -7.28 ;  -0.60 ;Alessi GEDR3       ;
Alessi_J1616-5136  ;244.058333333;-51.6113888889;OC  ;0.0416666667 ;  3930;      ;      ;  -3.58 ;  -3.84 ;Alessi GEDR3       ;
Alessi_J1816-1529  ;274.066666667;-15.4763888889;OC  ;0.2500000000 ;  1590;      ;      ;  -0.42 ;  -0.90 ;Alessi GEDR3       ;
Alessi_J1913+0622  ;288.375000000; +6.3666666667;OC  ;0.2000000000 ;  2198;      ;      ;  -1.13 ;  -4.00 ;Alessi GDR2        ;
Alessi_J1915+0548  ;288.870000000; +5.8000000000;OC  ;0.2000000000 ;  2110;      ;      ;  -0.22 ;  -4.60 ;Alessi GDR2        ;
Alessi_J1933+1147  ;293.434583333;+11.8066666667;OC  ;0.0475000000 ;  1036;      ;      ;  -1.48 ;  -6.12 ;Alessi GDR2        ;
Alessi_J1956+2627  ;299.091666667;+26.4550000000;OC  ;0.1833333333 ;  1141;      ;      ;  -1.03 ;  -4.36 ;Alessi EDR3        ;
Alessi_J2247+5742  ;341.775000000;+57.7100000000;OC: ;0.2000000000 ;  3000;      ;      ;  -3.35 ;  -2.52 ;Alessi GEDR3       ;
Cartes_du_Ciel_1   ;84.1125000000; -0.3550000000;OC  ;0.1333333333 ;   380;      ;      ;  -0.88 ;  -0.78 ;Alessi GEDR3       ;IC_426, GN_05.33.9.02, RK_31, RK_32, DG_61, DG_62
Cha_I_SW           ;148.213333333;-79.4825000000;YA  ;0.3825000000 ;   213;      ;      ; -15.72 ;   1.81 ;Alessi GEDR3       ;
Eps_Cap            ;324.269166667;-19.4658333333;OC  ;1.3333333333 ;   285;      ;  7.44;  12.46 ;   0.69 ;Alessi GEDR3       ;
Eta_PsA_Cl         ;330.150416667;-29.0388888889;MG  ;3.5641666667 ;   261;      ;  8.06;  15.30 ;   0.10 ;Alessi GEDR3       ;
GEDR3-1            ;217.598750000;-53.9280555556;EC  ;0.0583333333 ;  1029;      ;      ;  -3.80 ;  -2.09 ;Alessi GEDR3       ;
GEDR3-2            ;223.300000000;-54.1000000000;OC  ;0.1250000000 ;  1057;      ;      ;  -2.82 ;  -2.30 ;Alessi GEDR3       ;
