name                       RA_ICRS            DE_ICRS         Diam    
ASCC_1                      2.41300000   +62.7040000          5.2    
ASCC_10                    51.87000000   +34.9810000         67.0    
ASCC_101                  288.39900000   +36.3690000         44.6    
ASCC_105                  295.54800000   +27.3660000         77.8    
ASCC_107                  297.16400000   +21.9870000         20.9    
ASCC_108                  298.30600000   +39.3490000         64.4    
ASCC_11                    53.05600000   +44.8560000         37.4    
ASCC_110                  300.74200000   +33.5280000         24.4    
ASCC_111                  302.89100000   +37.5150000         64.4    
ASCC_112                  304.12700000   +52.0510000         30.8    
ASCC_113                  317.93300000   +38.6380000         63.5    
ASCC_114                  324.99000000   +53.9970000         25.9    
ASCC_115                  329.28000000   +51.5580000         30.0    
ASCC_117                  331.35000000   +62.2700000         15.0    
ASCC_118                  332.21800000   +61.1030000         51.2    
ASCC_12                    72.40000000   +41.7440000         36.4    
ASCC_124                  341.96100000   +46.3420000         50.8    
ASCC_127                  347.20500000   +64.9740000         75.2    
ASCC_128                  349.94900000   +54.4350000         61.6    
ASCC_13                    78.25500000   +44.4170000         73.1    
ASCC_130                  358.17700000   +62.4480000          8.4    
ASCC_14                    80.10000000   +35.1800000         12.0    
ASCC_16                    81.19800000    +1.6550000         45.1    
ASCC_17                    81.33000000   +30.1819440         23.4    
ASCC_18                    81.56900000    +0.4270000         88.8    
ASCC_19                    81.98200000    -1.9870000         72.6    
ASCC_2                      4.87500000   +55.6450000         12.0    
ASCC_20                    82.13500000    +1.7920000         87.0    
ASCC_21                    82.17900000    +3.5270000         49.2    
ASCC_21_B                  82.90400000    +2.2970000         86.4    
ASCC_22                    93.64600000    +0.6370000         27.7    
ASCC_23                    95.04700000   +46.7100000         38.3    
ASCC_29                   103.57100000    -1.6700000         16.4    
ASCC_30                   104.27100000    -6.2300000         32.4    
ASCC_32                   105.71400000   -26.5120000         78.7    
ASCC_36                   108.62500000   -21.1230556         30.0    
ASCC_37                   109.51500000   -24.5000000         12.0    
ASCC_42                   118.22800000   -53.0220000         58.9    
ASCC_45                   123.90708300   -35.6400000         12.0    
ASCC_46                   124.09500000   -48.4700000         12.0    
ASCC_47                   127.94700000   -39.0550000         18.6    
ASCC_5                     14.40708300   +55.8550000         22.8    
ASCC_51                   139.52200000   -69.6900000         34.8    
ASCC_54                   146.19708300   -54.4350000         21.6    
ASCC_55                   148.50000000   -57.0770000         17.4    
ASCC_58                   153.65700000   -55.0010000         71.0    
ASCC_59                   155.11500000   -57.6750000         39.6    
ASCC_6                     26.84600000   +57.7220000         22.6    
ASCC_60                   158.28700000   -58.4820000         10.8    
ASCC_61                   161.54200000   -56.8400000         10.2    
ASCC_62                   162.76500000   -60.0850000         12.6    
ASCC_63                   163.98000000   -60.4150000         10.8    
ASCC_64                   165.65000000   -60.5669444         32.0    
ASCC_65                   168.14096730   -61.1427660         20.8    
ASCC_66                   168.36700000   -55.4370000         11.6    
ASCC_67                   175.28000000   -61.0130000         22.0    
ASCC_68                   180.64900000   -60.9350000         35.8    
ASCC_69                   181.57500000   -69.7800000         33.0    
ASCC_7                     29.77500000   +58.9250000         10.8    
ASCC_71                   185.03300000   -67.5090000         30.6    
ASCC_73                   189.28100000   -67.2030000        118.6    
ASCC_77                   212.69400000   -62.3310000         21.5    
ASCC_79                   229.73100000   -60.7980000        117.6    
ASCC_8                     35.19000000   +59.6900000         13.8    
ASCC_84                   238.72500000   -60.7400000         30.0    
ASCC_85                   251.85300000   -45.5550000         42.8    
ASCC_86                   255.42100000   -58.9810000         58.7    
ASCC_87                   255.65800000   -28.4210000         41.6    
ASCC_88                   256.88600000   -35.5640000         44.6    
ASCC_9                     41.67100000   +57.7430000         25.8    
ASCC_90                   264.77700000   -34.8740000         46.6    
ASCC_92                   267.69800000   -11.8530000         39.7    
ASCC_93                   272.04000000   -22.2800000         13.8    
ASCC_94                   273.90000000   -14.9750000         14.4    
ASCC_95                   274.01200000   -25.7050000         15.6    
ASCC_97                   279.26300000   -19.1390000         16.8    
ASCC_99                   282.17000000   -18.4880000         77.2    
AVG_1                     325.75583330   +54.9383333          1.3    
AWG_1                      76.73025550    -3.3261185         13.0    
AWG_2                      76.82917130    -6.2620448         18.0    
AWG_6                      89.67675560   -13.4906308         21.0    
Afsar-Bond_1              106.02083330    -3.8475000          1.1    
Aladin_10                 185.80833300   -61.6380560          0.6    
Aladin_12                 182.93750000   -62.8627780          2.4    
Aladin_15                 179.55083300   -63.5641670          3.2    
Aladin_3                  188.08250000   -61.7211111         16.0    
Aladin_5                  191.60416700   -64.1911110          1.2    
Aladin_6                  192.17833300   -62.9641670          7.0    
Aladin_7                  193.28333300   -62.7077780          2.2    
Aladin_A                  280.40416700    -6.4666670          4.4    
Aladin_D                  278.78250000    -8.0888890          8.0    
Aladin_E                  275.72416670   -13.1688889          5.5    
Aladin_X                  274.55375000   -15.6008333          5.0    
Alessi_1                   13.34300000   +49.5360000         29.9    
Alessi_10                 301.23300000   -10.5550000         31.9    
Alessi_100                 87.01265190   +35.2421373         24.0    
Alessi_106                102.42083330   -24.1113889          5.0    
Alessi_108                307.42461960   +19.4732502         48.0    
Alessi_112                122.18333330   -42.0727778         20.0    
Alessi_12                 310.87500000   +23.8710000         81.8    
Alessi_137                357.91583330   -18.6905556         92.0    
Alessi_140                296.20833330   +15.8658333         36.0    
Alessi_146                152.86250000   -59.9180556         36.0    
Alessi_147                104.90833330   +12.2833333         42.0    
Alessi_15                 100.76700000    +1.6720000          1.0    
Alessi_154                281.90833330    -6.6766667         28.0    
Alessi_16                 100.89000000    +2.1750000          9.0    
Alessi_164                187.17500000   -70.7025000         48.0    
Alessi_17                 113.85300000   -15.0980000          2.6    
Alessi_178                114.01666670   -25.4116667         26.0    
Alessi_18                 114.29500000   -26.3860000          2.3    
Alessi_19                 274.74100000   +12.3110000         71.4    
Alessi_2                   71.60200000   +55.1990000         66.5    
Alessi_20                   2.59300000   +58.7420000         28.2    
Alessi_21                 107.69000000    -9.3630000         56.0    
Alessi_24                 260.76400000   -62.6930000         55.9    
Alessi_29                  72.35833330   +10.6813889         22.0    
Alessi_43                 132.63100000   -41.7380000         34.8    
Alessi_45                 180.20000000   -61.3902778         26.0    
Alessi_49                 154.06666700   -57.3483330          0.7    
Alessi_5                  160.81900000   -61.0810000         65.0    
Alessi_50                  95.51411500   +21.0707523          3.1    
Alessi_52                 183.25880400   -62.7079765          2.3    
Alessi_53                  97.35200000    +9.1800000          2.6    
Alessi_56                 286.72298120    +9.5850305          2.2    
Alessi_57                 290.22527640   +15.6758354          3.0    
Alessi_58                  96.43928700   +19.9123588          6.3    
Alessi_59                 103.07800000    +2.1960000          0.7    
Alessi_6                  220.05800000   -66.1270000         35.3    
Alessi_60                 105.61900000    -1.1200000          5.8    
Alessi_62                 284.02600000   +21.5970000         30.7    
Alessi_63                 273.10749430   -15.3795434          4.5    
