Name; RA_J2000_deg; De_J2000_deg; Type; Rad_deg; Dst_pc; E_B-V; Log_t; pmRA_mas; pmDe_mas; Reference; Aliases_and_associated_objects
ABP_1; 315.104166667; +52.5044444444; OB; 0.1000000000; 550; ; ; 0.73; -3.01; Alessi GEDR3; Braid_neb, V2495_Cyg, HH_448
ASCC_100; 285.435416667; +33.5258333333; OC; 0.1733333333; 362; 0.02; 7.98; 2.08; -3.15; Hunt 2021; UPK_83
ASCC_104; 294.742083333; +18.6650000000; OC; 0.4000000000; 902; ; 7.71; -0.73; -5.56; Alessi GEDR3; Theia_745
ASCC_116; 329.625000000; +54.4900000000; OC; 0.1400000000; 4000; ; ; -2.63; -2.49; Alessi GEDR3; 
ASCC_123; 340.298750000; +53.9861111111; OC; 1.2941666667; 235; 0.10; 7.99; 12.09; -1.41; Cantat-Gaudin 2020b; Theia_117, UPK_177
ASCC_125; 344.167916667; +62.7016666667; OC; 0.0833333333; 870; ; 6.36; -0.61; -2.28; 2019ApJ...870...32K; Cep_B, Cep_OB3_B_East, BDSB_41, IRAS_22551+6221, KKC_45, Theia_27, Bica_207
ASCC_129; 352.027083333; +55.6130555556; OC; 0.2166666667; 1791; ; ; -2.03; -1.56; Alessi GEDR3; Alessi_70, Alessi_J2327+55
ASCC_31; 105.270000000; +3.5300000000; OC:; 0.1700000000; 3470; ; ; -0.71; 0.04; Alessi GEDR3; 
ASCC_40; 113.531250000; -13.8177777778; OC; 0.1491666667; 5295; 0.26; 8.69; -1.32; 1.60; Hunt 2021; 
ASCC_44; 120.100000000; -50.5000000000; OC; 1.6250000000; 483; ; ; -5.28; 5.67; 2019A&A...621A.115C; Vela_Ring_J, FoF_2388, Theia_79, UBC_480, UPK_523
ASCC_75; 206.932916667; -62.3069444444; OC; 0.1825000000; 2228; 0.36; 6.65; -2.54; -2.05; Hunt 2021; 
AWG_5; 82.8483333330; +12.1680555556; EC; 0.0833333333; 390; ; ; 0.73; -0.67; Alessi GEDR3; Bica_286, HI_Ori, HK_Ori, GN_05.28.8
Aladin_19; 117.052916667; -36.1466666667; OC; 0.0150000000; 9000; ; ; -1.14; 2.29; Alessi GDR2; ALS_795
Aladin_20; 117.164166667; -33.8433333333; OC; 0.0300000000; 3700; ; ; -1.98; 3.14; Alessi GDR2; ALS_802
Alcaeus; 58.5300000000; +31.9800000000; OC; 1.7000000000; 294; ; 6.60; 6.30; -9.80; arXiv:2102.08263v1; PST_2
Alessi_105; 124.000000000; +7.0000000000; OC; 1.5000000000; 538; ; ; -8.25; -1.30; Alessi GEDR3; 
Alessi_122; 99.0875000000; +10.9052777778; EC; 0.0250000000; 3846; ; ; -0.41; -1.03; Alessi GDR2; ESO-HA_308
Alessi_13; 51.7616666670; -35.8211111111; OC; 1.3608333333; 104; 0.02; 8.23; 36.33; -4.71; Cantat-Gaudin 2020b; Chi_For, Chi-2_For, Harrington_2, OPD_19, Ramakers_26, Slotegraaf_3
Alessi_174; 106.512500000; -9.4750000000; OC; 0.1000000000; 3333; ; ; -1.04; 0.90; Alessi GDR2; Rouault_7, Santa_75
Alessi_204; 107.365000000; -12.0550000000; OC; 0.1550000000; 1127; ; ; -3.27; 0.98; Alessi GEDR3; CMa_OB1B
Alessi_22; 356.945000000; +36.1875000000; OC; 1.4125000000; 370; ; 8.92; -4.52; -11.94; Alessi GEDR3; Theia_1106, V707_And
Alessi_3; 109.275000000; -46.1419444444; OC; 1.5408333333; 280; 0.10; 8.86; -9.88; 11.96; Cantat-Gaudin 2020b; FoF_2434, Theia_1011, UPK_505
Alessi_44; 295.325000000; +1.5919444444; OC; 1.2958333333; 668; 0.28; 8.20; 0.46; -2.33; Cantat-Gaudin 2020b; ASCC_106, Theia_125, UPK_49
Alessi_65; 101.083333333; +6.9791666667; OC; 0.0291666667; 4260; ; ; -0.10; -0.55; Alessi GEDR3; 
Alessi_74; 186.283333333; -65.1119444444; OC; 0.2000000000; 1760; ; ; -5.60; -0.53; Alessi GEDR3; 
Alessi_78; 132.420833333; -47.5800000000; OB; 0.3833333333; 1970; ; ; -5.03; 4.51; Alessi GEDR3; 
Alessi_80_A; 267.750000000; -38.4750000000; OC; 0.2416666667; 1101; ; ; 3.50; -2.35; Alessi GEDR3; Melnik-Efremov_5, Sco_OB5
Alessi_80_B; 268.150000000; -38.6333333333; OC; 0.3000000000; 1173; ; ; 2.89; -1.76; Alessi GEDR3; Melnik-Efremov_5, Sco_OB5
Alessi_9; 265.973750000; -47.0280555556; OC; 1.7300000000; 207; 0.05; 8.55; 9.92; -9.16; Cantat-Gaudin 2020b; Theia_598
Alessi_J0622+2114; 95.6083333330; +21.2472222222; OC; 0.0250000000; 3250; ; ; -0.33; -0.14; Alessi GEDR3; 
Alessi_J1121-6059; 170.462500000; -60.9950000000; OC; 0.0416666667; 3880; ; ; -5.61; 1.53; Alessi GEDR3; Slotegraaf_34
Alessi_J1127-6134; 171.920833333; -61.5725000000; OC?; 0.2500000000; 1940; ; ; -6.86; 1.25; Alessi GEDR3; 
Alessi_J1249-6131; 192.354166667; -61.5200000000; OC; 0.0175000000; 3040; ; ; -7.28; -0.60; Alessi GEDR3; 
Alessi_J1616-5136; 244.058333333; -51.6113888889; OC; 0.0416666667; 3930; ; ; -3.58; -3.84; Alessi GEDR3; 
Alessi_J1816-1529; 274.066666667; -15.4763888889; OC; 0.2500000000; 1590; ; ; -0.42; -0.90; Alessi GEDR3; 
Alessi_J1913+0622; 288.375000000; +6.3666666667; OC; 0.2000000000; 2198; ; ; -1.13; -4.00; Alessi GDR2; 
Alessi_J1915+0548; 288.870000000; +5.8000000000; OC; 0.2000000000; 2110; ; ; -0.22; -4.60; Alessi GDR2; 
Alessi_J2247+5742; 341.775000000; +57.7100000000; OC:; 0.2000000000; 3000; ; ; -3.35; -2.52; Alessi GEDR3; 
Alicante_5; 139.120833333; -49.7166666667; OC; 0.0166666667; 2809; ; ; -5.39; 4.13; Alessi GDR2; ESO_211-8
Anon_0103+61; 15.9500000000; +61.8916666667; OC; 0.0833333333; 2280; ; ; -0.26; 0.16; Alessi GEDR3; 
Anon_0504+34; 76.1125000000; +34.9716666667; OC; 0.1500000000; 4900; ; ; 0.43; -0.55; Alessi GEDR3; 
Autochthe; 51.3400000000; +30.9500000000; OC; 0.4000000000; 303; ; 6.00; 7.70; -8.50; arXiv:2102.08263v1; Bica_244, Bica_245, PST_1
BBJ_6; 119.999166667; -46.5250000000; OC; 1.8333333333; 331; ; 7.48; -11.47; 4.65; 2018MNRAS.481L..11B; UPK_514, Collinder_173, Vel_OB2
BDB_11; 276.916666667; -3.8311111111; EC; 0.0333333333; 413; ; ; 1.50; -8.49; Alessi GEDR3; MWC_297, NZ_Ser, Sh2-62, TPN_2
BDB_115; 39.1416666670; +60.5361111111; EC; 0.0166666667; 2000; ; ; -0.74; -0.50; Alessi GEDR3; CHS_5, IRAS_02327+6019
BDB_116; 41.1583333330; +60.9980555556; EC; 0.0100000000; 1930; ; 6.30; 0.29; -0.52; Alessi GEDR3; CHS_6, IRAS_02407+6047, Majaess_30
BDB_117; 42.5333333330; +61.9963888889; EC; 0.0225000000; 4900; ; ; -0.59; 0.12; Alessi GEDR3; AFGL_5085, IRAS_02461+6147
BDB_123; 43.0791666670; +60.5830555556; EC; 0.0133333333; 3700; ; ; -0.25; -0.07; Alessi GEDR3; CHS_12, IRAS_02484+6022
BDB_128; 46.8541666670; +58.5144444444; EC; 0.0333333333; 2240; ; ; 0.60; -0.81; Alessi GEDR3; AFGL_437
BDB_152; 80.7666666670; +33.9741666667; EC; 0.0466666667; 3120; ; ; -0.38; -1.58; Alessi GEDR3; IRAS_05197+3355
BDB_180; 92.3370833330; +20.6600000000; EC; 0.0383333333; 1800; 1.96; 8.25; 0.20; -2.21; Alessi GEDR3; Sh2-252C, KKC_16
BDB_183; 89.5500000000; +16.5250000000; EC; 0.0750000000; 1620; ; 8.55; 0.45; -1.63; Alessi GEDR3; AFGL_5173, IRAS_05553+1631, KKC_13, Majaess_69
BDB_191; 94.6916666670; +15.2808333333; EC; 0.0200000000; 3600; ; ; 0.04; -0.37; Alessi GEDR3; Sh2-266, MWC_137, V1308_Ori
BDB_213; 83.8250000000; -5.0102777778; EC; 0.0750000000; 385; ; ; 1.41; -0.19; Alessi GEDR3; OMC_3
BDB_214; 83.8541666670; -5.1711111111; EC; 0.0166666667; 383; ; ; 1.08; 0.25; Alessi GEDR3; Walker_3, OMC_2, V1343_Ori
BDB_216; 83.8083333330; -5.3750000000; EC; 0.0091666667; 399; ; ; 1.32; -0.01; Alessi GEDR3; Orion-BN-KL, Orion_A
BDB_218; 84.0791666670; -6.3702777778; EC; 0.0333333333; 385; ; ; 0.63; 0.17; Alessi GEDR3; LDN_1641_N, Reipurth_50_N
BDB_219; 83.8750000000; -6.4477777778; EC; 0.0166666667; 397; ; ; 1.30; 0.65; Alessi GEDR3; HH_34, KMS_12
BDB_222; 84.4750000000; -6.9561111111; EC; 0.0600000000; 382; 2.12; 6.60; 0.40; -0.55; Alessi GEDR3; KMS_35, SSM_5, V592_Ori, Carpenter_3
BDB_223; 84.6708333330; -6.9727777778; EC; 0.0333333333; 415; ; ; 0.10; -1.17; Alessi GEDR3; KMS_36, SSM_6
BDB_224; 84.6958333330; -7.0277777778; EC; 0.0583333333; 390; ; ; 0.09; -1.03; Alessi GEDR3; LDN_1641_Center, Carpenter_4, SSM_4, MGM_12, LLA_10
BDB_226; 85.1958333330; -8.1041666667; EC; 0.0416666667; 398; ; ; 1.18; 0.40; Alessi GEDR3; LDN_1641_N, GGD7
BDB_237; 104.804166667; -3.9144444444; EC; 0.0166666667; 4260; ; ; -1.50; 0.53; Alessi GEDR3; BFS_56
BDB_238; 104.816666667; -3.9941666667; EC; 0.0333333333; 2630; ; 7.35; -1.26; 0.38; Alessi GEDR3; BFS_57, AFGL_5216, BIP_14, IRAS_06567-0355
BDB_240; 107.162500000; -4.3186111111; EC; 0.0150000000; 3890; ; ; -1.01; 0.37; Alessi GEDR3; IC_466, Sh2-288
BDB_241; 104.925000000; -7.7747222222; EC; 0.0416666667; 1293; ; ; -2.38; 1.10; Alessi GEDR3; NGC_2316, LDN_1654
BDB_244; 107.337500000; -10.8416666667; EC; 0.0191666667; 1275; ; ; -3.68; 0.87; Alessi GEDR3; Gy2-7, Gy3-7, IRAS_07069-1045
BDB_258; 226.324166667; -57.5280555556; OC; 0.0583333333; 2490; ; 6.40; -3.66; -2.73; Alessi GEDR3; IRAS_15015-5720, RCW_87
BDB_49; 308.475000000; +41.3819444444; EC; 0.0500000000; 1739; 0.82; 7.50; -2.69; -4.30; Alessi GDR2; G80.35+0.72
BDB_73; 315.991666667; +50.2438888889; EC; 0.1000000000; 2600; ; 6.67; -4.07; -5.22; Alessi GEDR3; FSR_292, LDN_988e, Hodapp_26
BDB_76; 315.404166667; +68.1633333333; EC; 0.0333333333; 334; ; ; 7.50; -1.31; Alessi GEDR3; NGC_7023, vdB-RN_139, Cep_I, Cep_T1
BDB_80; 337.216666667; +64.2227777778; EC; 0.0208333333; 930; ; ; -0.00; -1.91; Alessi GEDR3; KKC_42, LDN_1206, BRC_44, IRAS_22272+6358A
