
OGLE-MBR-CL-20                ;brdg   ;Hyi  ;01 35 04.9 -76 11 20   ;Op    ;OC    ;    42.0;  55100;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-MBR-CL-13                ;brdg   ;Hyi  ;01 40 39.1 -73 43 06   ;Op    ;OC    ;    54.0;  55100;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
WG 11                         ;brdg   ;Hyi  ;02 00 37   -74 33 29   ;Op    ;OC    ;    42.0;  55100;       ;      ;      ;OGLE-MBR-CL-68                                                         ;
WG 13                         ;brdg   ;Hyi  ;02 02 41   -73 56 21   ;Op    ;OC    ;    66.0;  55100;       ;      ;      ;OGLE-MBR-CL-78                                                         ;
OGLE-MBR-CL-21                ;brdg   ;Hyi  ;02 03 13.0 -73 16 49   ;Op    ;OC    ;    50.0;  55100;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
ICA 3                         ;brdg   ;Hyi  ;02 03 27   -74 54 10   ;Op    ;OB    ;   204.0;  55100;       ;      ;      ;                                                                       ;
ICA 6                         ;brdg   ;Hyi  ;02 04 25   -74 58 31   ;Op    ;OB    ;   342.0;  55100;       ;      ;      ;OGLE-MBR-CL-79                                                         ;
ICA 7                         ;brdg   ;Hyi  ;02 05 02   -74 30 40   ;Op    ;OB    ;   240.0;  55100;       ;      ;      ;                                                                       ;
ICA 11                        ;brdg   ;Hyi  ;02 06 35   -74 41 22   ;Op    ;OB    ;   192.0;  55100;       ;      ;      ;OGLE-MBR-CL-60                                                         ;
ICA 14                        ;brdg   ;Hyi  ;02 07 22   -74 40 21   ;Op    ;OB    ;   300.0;  55100;       ;      ;      ;                                                                       ;
ICA 13                        ;brdg   ;Hyi  ;02 07 27   -74 46 44   ;Op    ;OB    ;   270.0;  55100;       ;      ;      ;                                                                       ;in DEMS 171
[BS95] 229                    ;brdg   ;Hyi  ;02 07 49   -74 26 32   ;Op    ;OC    ;    27.0;  55100;       ;      ;      ;OGLE-MBR-CL-63                                                         ;in ICA 20
ICA 18                        ;brdg   ;Hyi  ;02 07 54   -74 38 17   ;Op    ;OB    ;   192.0;  55100;       ;      ;      ;                                                                       ;
WG 16                         ;brdg   ;Hyi  ;02 08 08   -74 47 58   ;Op    ;OB/C  ;    39.0;  55100;       ;      ;      ;OGLE-MBR-CL-58                                                         ;in DEMS 171
[BS95] 232                    ;brdg   ;Hyi  ;02 09 22   -74 01 31   ;Op    ;OC/B  ;    48.0;  55100;       ;      ;      ;OGLE-MBR-CL-77                                                         ;in BS 231
[BS95] 233                    ;brdg   ;Hyi  ;02 10 38   -74 09 20   ;Op    ;OC/B  ;    72.0;  55100;       ;      ;      ;OGLE-MBR-CL-71                                                         ;in DEMS 169
[BS95] 235                    ;brdg   ;Hyi  ;02 11 51   -74 07 08   ;Op    ;OC    ;    36.0;  55100;       ;      ;      ;OGLE-MBR-CL-70                                                         ;
[BS95] 239                    ;brdg   ;Hyi  ;02 14 37   -73 59 00   ;Op    ;OC/B  ;    72.0;  55100;       ;      ;      ;OGLE-MBR-CL-86                                                         ;in ICA 34
ICA 34                        ;brdg   ;Hyi  ;02 14 38   -73 58 39   ;Op    ;OB    ;   282.0;  55100;       ;      ;      ;OGLE-MBR-CL-85/6                                                       ;
BSBD 4                        ;brdg   ;Hyi  ;02 14 40   -74 21 24   ;Op    ;OC    ;    19.8;  55100;       ;      ;      ;OGLE-MBR-CL-61                                                         ;in [L61] 593
WG 18                         ;brdg   ;Hyi  ;02 15 41   -74 02 15   ;Op    ;OB    ;    72.0;  55100;       ;      ;      ;                                                                       ;
ICA 35                        ;brdg   ;Hyi  ;02 15 50   -74 31 22   ;Op    ;OB    ;   270.0;  55100;       ;      ;      ;                                                                       ;
ICA 37                        ;brdg   ;Hyi  ;02 17 44   -74 24 24   ;Op    ;OB    ;   300.0;  55100;       ;      ;      ;                                                                       ;
[BS95] 243                    ;brdg   ;Hyi  ;02 19 27   -74 11 57   ;Op    ;OB    ;   180.0;  55100;       ;      ;      ;OGLE-MBR-CL-80                                                         ;
IDK 2w                        ;brdg   ;Hyi  ;02 27 17   -73 45 18   ;Op    ;OB    ;   156.0;  55100;       ;      ;      ;ICA 45, OGLE-MBR-CL-82                                                 ;
ICA 44                        ;brdg   ;Hyi  ;02 27 19   -73 57 38   ;Op    ;OB    ;   270.0;  55100;       ;      ;      ;                                                                       ;
[BS95] 245                    ;brdg   ;Hyi  ;02 27 27   -73 58 23   ;Op    ;OC/B  ;    66.0;  55100;       ;      ;      ;OGLE-MBR-CL-83                                                         ;in ICA 44
ICA 48                        ;brdg   ;Hyi  ;02 28 17   -73 47 33   ;Op    ;OB    ;   132.0;  55100;       ;      ;      ;OGLE-MBR-CL-84                                                         ;
[BS95] 246                    ;brdg   ;Hyi  ;02 31 04   -73 54 37   ;Op    ;OB    ;    66.0;  55100;       ;      ;      ;                                                                       ;
ICA 57                        ;brdg   ;Hyi  ;02 31 16   -73 55 35   ;Op    ;OB    ;    72.0;  55100;       ;      ;      ;OGLE-MBR-CL-81                                                         ;
OGLE-MBR-CL-33                ;brdg   ;Hyi  ;02 41 03.6 -73 15 12   ;Op    ;OC    ;    34.0;  55100;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
ICA 65sw                      ;brdg   ;Hyi  ;02 53 41   -73 29 06   ;Op    ;OB    ;   420.0;  55100;       ;      ;      ;                                                                       ;
HCD99-1                       ;SMC    ;Hyi  ;01 24 14   -73 10 12   ;Op    ;OC    ;    19.8;  60700;       ;      ;      ;OGLE-SMC-CL-0291                                                       ;in H-A 64
Bruck 166                     ;SMC    ;Hyi  ;01 31 51   -73 54 50   ;Op    ;OC    ;    24.0;  60700;       ;      ;      ;OGLE-SMC-CL-0295                                                       ;
WG 6                          ;SMC    ;Hyi  ;01 53 12   -73 58 38   ;Op    ;OC    ;    24.0;  60700;       ;      ;      ;OGLE-MBR-CL-0046                                                       ;
[BS95] 193                    ;SMC    ;Hyi  ;01 43 54   -74 32 25   ;Op    ;OC    ;    24.0;  60700;       ;      ;      ;OGLE-MBR-CL-0057                                                       ;in BS 191
[BS95] 216                    ;SMC    ;Hyi  ;01 56 54   -74 15 28   ;Op    ;OC    ;    24.0;  60700;       ;      ;      ;OGLE-MBR-CL-0074                                                       ;inc MP1-E, in BS 217
[BS95] 282                    ;SMC    ;Hyi  ;01 25 29   -73 23 22   ;Op    ;OC    ;    24.0;  60700;       ;      ;      ;OGLE-SMC-CL-0287                                                       ;in Lindsay 104
Bruck 165                     ;SMC    ;Hyi  ;01 30 50   -73 26 05   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;OGLE-SMC-CL-0285                                                       ;in BS 186
Bruck 168                     ;SMC    ;Hyi  ;01 26 43   -70 46 49   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;OGLE-SMC-CL-0343                                                       ;
Bruck 2                       ;SMC    ;Hyi  ;00 19 18   -74 34 28   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;OGLE-SMC-CL-0331                                                       ;
HW 79                         ;SMC    ;Hyi  ;01 22 48   -75 00 06   ;Op    ;OC    ;   162.0;  60700;       ;      ;      ;OGLE-SMC-CL-0299, OGLE-SMC-CL-0306                                     ;
Lindsay 101                   ;SMC    ;Hyi  ;01 23 45   -73 12 24   ;Op    ;OB    ;   168.0;  60700;       ;      ;      ;                                                                       ;
Lindsay 103                   ;SMC    ;Hyi  ;01 25 16   -73 16 09   ;Op    ;OB    ;   162.0;  60700;       ;      ;      ;H-A 66sw                                                               ;in DEMS 163
Lindsay 110                   ;SMC    ;Hyi  ;01 34 26   -72 52 28   ;Op    ;OC    ;   174.0;  60700;       ;      ;      ;ESO 29-48, OGLE-SMC-CL-0292                                            ;Old IAC
Lindsay 113                   ;SMC    ;Hyi  ;01 49 28   -73 43 42   ;Op    ;OC    ;   264.0;  49600;       ;      ;      ;ESO 30-4, OGLE-MBR-CL-0047                                             ;Old IAC
NGC 602                       ;SMC    ;Hyi  ;01 29 26   -73 33 23   ;Op    ;OB    ;   192.0;  55000;       ;      ;      ;Lindsay 105, ESO 29-43, H-A 68, OGLE-SMC-CL-0280                       ;in DEMS 167 DC SMC-N 90
[BS95] 178                    ;SMC    ;Hyi  ;01 24 45   -73 19 19   ;Op    ;OB    ;   360.0;  60700;       ;      ;      ;                                                                       ;in DEMS 163
[BS95] 182                    ;SMC    ;Hyi  ;01 25 56   -73 37 19   ;Op    ;OB    ;   150.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 185                    ;SMC    ;Hyi  ;01 30 17   -70 49 03   ;Op    ;OB    ;   228.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 186                    ;SMC    ;Hyi  ;01 30 31   -73 25 09   ;Op    ;OB    ;   480.0;  60700;       ;      ;      ;OGLE-SMC-CL-0286                                                       ;in DEMS 167
[BS95] 220                    ;SMC    ;Hyi  ;01 59 50   -74 16 49   ;Op    ;OB    ;   210.0;  60700;       ;      ;      ;OGLE-MBR-CL-0073                                                       ;
WG 5nw                        ;SMC    ;Hyi  ;01 50 37   -74 08 30   ;Op    ;OB    ;   132.0;  60700;       ;      ;      ;H-A 70                                                                 ;in MP 3
NGC 643                       ;SMC    ;Hyi  ;01 35 00   -75 33 24   ;Op    ;OC    ;   132.0;  60700;       ;      ;      ;Lindsay 111, ESO 29-50, OGLE-SMC-CL-0297                               ;
[BS95] 217                    ;SMC    ;Hyi  ;01 57 00   -74 15 37   ;Op    ;OB    ;   126.0;  60700;       ;      ;      ;OGLE-MBR-CL-0074                                                       ;inc MP1-E, BS 216
HW 86                         ;SMC    ;Hyi  ;01 42 22   -74 10 24   ;Op    ;OC    ;   120.0;  60700;       ;      ;      ;OGLE-MBR-CL-0043                                                       ;
[BS95] 208                    ;SMC    ;Hyi  ;01 53 08   -73 59 31   ;Op    ;OB    ;   114.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 202                    ;SMC    ;Hyi  ;01 49 59   -74 29 11   ;Op    ;OB    ;   108.0;  60700;       ;      ;      ;OGLE-MBR-CL-0054                                                       ;
Bruck 167                     ;SMC    ;Hyi  ;01 32 28   -73 58 40   ;Op    ;OB    ;   108.0;  60700;       ;      ;      ;                                                                       ;
Lindsay 106                   ;SMC    ;Hyi  ;01 30 38   -76 03 16   ;Op    ;OC    ;   108.0;  60700;       ;      ;      ;ESO 29-44, OGLE-SMC-CL-0296                                            ;
Lindsay 107                   ;SMC    ;Hyi  ;01 31 09   -73 24 56   ;Op    ;OB/OC ;   108.0;  60700;       ;      ;      ;H-A 69, OGLE-SMC-CL-0284                                               ;in BS 186
Lindsay 104                   ;SMC    ;Hyi  ;01 25 25   -73 23 09   ;Op    ;OB    ;   102.0;  60700;       ;      ;      ;OGLE-SMC-CL-0287                                                       ;in SMC-N 89
Lindsay 108                   ;SMC    ;Hyi  ;01 31 32   -71 57 10   ;Op    ;OC    ;   102.0;  60700;       ;      ;      ;OGLE-SMC-CL-0300                                                       ;
[BS95] 174                    ;SMC    ;Hyi  ;01 24 13   -72 48 09   ;Op    ;OB    ;   102.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 183                    ;SMC    ;Hyi  ;01 26 03   -73 59 35   ;Op    ;OB    ;   102.0;  60700;       ;      ;      ;                                                                       ;
OGLE-SMC-CL-0244              ;SMC    ;Hyi  ;01 27 41.17-73 35 49.0 ;Op    ;OC    ;    96.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
[BS95] 213                    ;SMC    ;Hyi  ;01 54 01   -74 19 22   ;Op    ;OB    ;    96.0;  60700;       ;      ;      ;                                                                       ;br*n or sup
[BS95] 175                    ;SMC    ;Hyi  ;01 24 15   -73 11 35   ;Op    ;OB    ;    90.0;  60700;       ;      ;      ;                                                                       ;in DEMS 163
OGLE-SMC-CL-0251              ;SMC    ;Hyi  ;01 24 38.61-73 12 57.6 ;Op    ;OC    ;    94.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
OGLE-SMC-CL-0248              ;SMC    ;Hyi  ;01 29 49.16-73 25 48.7 ;Op    ;OC    ;    90.0;  60700;       ;      ;      ;                                                                       ;from arXiv:1801.05867v1
[BS95] 212                    ;SMC    ;Hyi  ;01 53 49   -73 56 10   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;OGLE-MBR-CL-0044                                                       ;
[H86] 211                     ;SMC    ;Hyi  ;01 24 44   -73 25 01   ;Op    ;OC    ;    27.0;  60700;       ;      ;      ;[H86] 211, OGLE-SMC-CL-0288                                            ;
BSBD 3                        ;SMC    ;Hyi  ;01 49 28   -74 39 15   ;Op    ;OC    ;    30.0;  60700;       ;      ;      ;OGLE-MBR-CL-0053                                                       ;in BS 200
Bruck 44                      ;SMC    ;Hyi  ;00 46 13   -74 22 41   ;Op    ;OC    ;    30.0;  60700;       ;      ;      ;                                                                       ;
KMHK 6                        ;LMC    ;Hyi  ;04 32 48   -71 27 30   ;Op    ;OC    ;    36.0;  49500;       ;      ;      ;                                                                       ;
LW 5                          ;LMC    ;Hyi  ;04 33 52   -70 38 30   ;Op    ;OC    ;    42.0;  49500;       ;      ;      ;KMHK 8                                                                 ;
[BS95] 247                    ;LMC    ;Hyi  ;03 10 23   -73 30 10   ;Op    ;OB/OC ;    42.0;  49500;       ;      ;      ;OGLE-MBR-CL-0088                                                       ;
KMHK 3                        ;LMC    ;Hyi  ;04 29 34   -68 21 22   ;Op    ;OC    ;    48.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0834              ;LMC    ;Hyi  ;04 31 17.54-67 46 50.5 ;Op    ;OC    ;    64.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0841              ;LMC    ;Hyi  ;04 29 25.88-67 26 45.6 ;Op    ;OC    ;    64.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0830              ;LMC    ;Hyi  ;04 27 42.08-69 07 51.5 ;Op    ;OC    ;    72.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0824              ;LMC    ;Hyi  ;04 32 06.04-73 40 10.0 ;Op    ;OC    ;    90.0;  49500;       ;      ;      ;                                                                       ;
OGLE-LMC-CL-0829              ;LMC    ;Hyi  ;04 32 26.92-70 44 44.4 ;Op    ;OC    ;    96.0;  49500;       ;      ;      ;                                                                       ;
SL 2                          ;LMC    ;Hyi  ;04 24 09   -72 34 23   ;Op    ;OC    ;    96.0;  49500;       ;      ;      ;LW 2, KMHK 2                                                           ;
NGC 1629                      ;LMC    ;Hyi  ;04 29 36   -71 50 18   ;Op    ;OC    ;   102.0;  49500;       ;      ;      ;SL 3, LW 3, ESO 55-24, KMHK 4                                          ;
SL 4                          ;LMC    ;Hyi  ;04 32 38   -72 20 27   ;Op    ;OC    ;   102.0;  49500;       ;      ;      ;LW 4, KMHK 7                                                           ;
ICA 71                        ;LMC    ;Hyi  ;03 01 23   -73 25 20   ;Op    ;OB    ;   270.0;  49500;       ;      ;      ;OGLE-MBR-CL-0089, OGLE-MBR-CL-0087                                     ;
[BS95] 176                    ;SMC    ;Hyi  ;01 24 16   -73 09 59   ;Op    ;OC    ;    30.0;  60700;       ;      ;      ;OGLE-SMC-CL-0291                                                       ;in H-A 64
Bruck 162                     ;SMC    ;Hyi  ;01 23 52   -73 26 19   ;Op    ;OC/OB ;    33.0;  60700;       ;      ;      ;                                                                       ;
[BS95] 207                    ;SMC    ;Hyi  ;01 52 58   -74 14 58   ;Op    ;OC    ;    33.0;  60700;       ;      ;      ;OGLE-MBR-CL-0040                                                       ;
[H86] 213                     ;SMC    ;Hyi  ;01 34 40   -73 16 21   ;Op    ;OC    ;    33.0;  60700;       ;      ;      ;OGLE-SMC-CL-0283                                                       ;
Bruck 6                       ;SMC    ;Hyi  ;00 27 57   -74 24 02   ;Op    ;OC    ;    36.0;  60700;       ;      ;      ;OGLE-SMC-CL-0330                                                       ;
[BS95] 187                    ;SMC    ;Hyi  ;01 31 01   -72 50 48   ;Op    ;OC/OB ;    36.0;  60700;       ;      ;      ;OGLE-SMC-CL-0293                                                       ;
