Cluster_s name                ;Galaxy ;Const;RAJ2000.0  DEJ2000.0   ;Wavel ;Type  ;Dia_arcS;Dst_pc ;V_mag  ;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
HCD01-1                       ;LMC    ;Dor  ;04 57 16   -66 23 21   ;Op    ;OC    ;     1.8;  49500;       ;      ;      ;                                                                                                                  ;in IC 2116
TLF 1                         ;LMC    ;Dor  ;05 39 38   -69 46 09   ;Op    ;OC    ;     1.8;  49500;       ;      ;      ;                                                                                                                  ;in UC HII LI-LMC 1501W, in N159A5
TLF 2                         ;LMC    ;Dor  ;05 39 36   -69 46 04   ;Op    ;OC    ;     1.8;  49500;       ;      ;      ;                                                                                                                  ;in N159A6
R 136a                        ;LMC    ;Dor  ;05 38 43.3 -69 06 08   ;Op    ;OC    ;     4.1;  52500;       ;      ;      ;RMC 136a, Sk-69 243                                                                                               ;in 30 Dor
HCD02-2                       ;LMC    ;Dor  ;05 39 45   -69 38 38   ;Op    ;OC    ;     4.2;  49500;       ;      ;      ;                                                                                                                  ;in NGC 2080
HRR 1                         ;LMC    ;Dor  ;04 57 44   -66 27 40   ;Op    ;OC    ;     4.2;  49500;       ;      ;      ;                                                                                                                  ;rel Sk-66 41, in NGC 1769
TLK 2                         ;LMC    ;Dor  ;05 40 05   -69 44 40   ;Op    ;OC    ;     4.2;  49500;       ;      ;      ;N159-5-B                                                                                                          ;
TLK 1                         ;LMC    ;Dor  ;05 40 04   -69 44 37   ;Op    ;OC    ;     4.8;  49500;       ;      ;      ;N159-5-A                                                                                                          ;in NKD-N159Y4
MYSO 045403 Cl                ;LMC    ;Dor  ;04 54 03.6 -67 16 18.3 ;Op    ;OC    ;     6.0;  49500;       ;      ;      ;                                                                                                                  ;From arXiv:1609.04399v1, diam from HST image
TLD 1                         ;LMC    ;Dor  ;05 37 47   -69 09 08   ;Op    ;OC    ;     6.0;  49500;       ;      ;      ;                                                                                                                  ;rel Breysacher 73, in BSDL 2634
WDP 1                         ;LMC    ;Dor  ;04 56 59   -66 24 39   ;Op    ;OC    ;     6.0;  49500;       ;      ;      ;                                                                                                                  ;rel LH 10-3209, in LH 10
[WB87] 2                      ;LMC    ;Dor  ;05 38 33   -69 04 32   ;Op    ;OC    ;     7.8;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor inc P 304, P 294
HCD02-1                       ;LMC    ;Dor  ;05 39 44   -69 38 42   ;Op    ;OC    ;     8.4;  49500;       ;      ;      ;                                                                                                                  ;in NGC 2080
MYSO 053244 Cl                ;LMC    ;Dor  ;05 32 44.3 -69 30 05.5 ;Op    ;OC    ;     9.0;  49500;       ;      ;      ;                                                                                                                  ;From arXiv:1609.04399v1, diam from HST image
[NKN2005] N159-Y1             ;LMC    ;Dor  ;05 39 31   -69 47 21   ;Op    ;OC    ;     9.0;  49500;       ;      ;      ;                                                                                                                  ;in N159H
DES 1-11                      ;LMC    ;Dor  ;05 35 00.05-63 32 02.0 ;Op    ;OC    ;     9.6;  44463;       ;      ; 8.978;                                                                                                                  ;
OGLE-LMC 2                    ;LMC    ;Dor  ;05 00 11   -68 36 55   ;Op    ;OC    ;    10.2;  49500;       ;      ;      ;OGLE-LMC 2                                                                                                        ;
[WB87] 1                      ;LMC    ;Dor  ;05 38 48   -69 04 12   ;Op    ;OC    ;    10.2;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor inc P 4, IRS N134, IRS N137
OGLE-LMC 537                  ;LMC    ;Dor  ;05 30 04   -69 44 27   ;Op    ;OC    ;    10.8;  49500;       ;      ;      ;OGLE-LMC 537                                                                                                      ;mP
WBB 2                         ;LMC    ;Dor  ;05 38 48   -69 04 45   ;Op    ;OC    ;    10.8;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor in Knot 2 inc IRS N125, P 1429
BRHT 19b                      ;LMC    ;Dor  ;05 40 24   -69 40 17   ;Op    ;OC    ;    11.4;  49500;       ;      ;      ;NKN-N160-Y5                                                                                                       ;mP, in NGC 2086
DES 1-27                      ;LMC    ;Dor  ;05 58 00.26-64 35 04.1 ;Op    ;OC    ;    12.0;  42462;       ;      ; 9.041;                                                                                                                  ;
WBB 1                         ;LMC    ;Dor  ;05 38 45   -69 05 09   ;Op    ;OC    ;    12.0;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor in Knot 1 inc P 1222, P 1201, P 1164
[WB87] 3                      ;LMC    ;Dor  ;05 38 45   -69 05 47   ;Op    ;OC    ;    12.0;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor inc P 1231, P 1304, P 1306, P 1312
DES 1-25                      ;LMC    ;Dor  ;05 54 00.37-64 53 01.4 ;Op    ;OC    ;    13.2;  49659;       ;      ; 8.919;                                                                                                                  ;
DES 1-12                      ;LMC    ;Dor  ;05 33 00.22-63 35 04.7 ;Op    ;OC    ;    14.4;  44875;       ;      ; 9.480;                                                                                                                  ;
DES 1-13                      ;LMC    ;Dor  ;05 33 00.37-63 04 01.9 ;Op    ;OC    ;    14.4;  45499;       ;      ; 9.161;                                                                                                                  ;
DES 1-14                      ;LMC    ;Dor  ;05 35 00.13-64 37 00.8 ;Op    ;OC    ;    14.4;  49659;       ;      ; 8.881;                                                                                                                  ;
DES 1-4                       ;LMC    ;Dor  ;05 24 00.32-64 19 03.2 ;Op    ;OC    ;    14.4;  44055;       ;      ; 9.520;                                                                                                                  ;
OGLE-LMC 122                  ;LMC    ;Dor  ;05 07 19   -68 20 55   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 122                                                                                                      ;
OGLE-LMC 148                  ;LMC    ;Dor  ;05 09 04   -68 58 53   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 148                                                                                                      ;
OGLE-LMC 151                  ;LMC    ;Dor  ;05 09 14   -69 16 01   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 151                                                                                                      ;mP
OGLE-LMC 297                  ;LMC    ;Dor  ;05 16 52   -69 04 13   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 297                                                                                                      ;mT
BSDL 1161                     ;LMC    ;Dor  ;05 18 15   -68 37 46   ;Op    ;OC/OB ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;mT
BSDL 2562                     ;LMC    ;Dor  ;05 37 04   -64 54 50   ;Op    ;OC    ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;
