Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
11 Cyg Grp            ;Cyg  ;19 36 44.0 +37 00 30 ;Op   ;***  ;   34.00;      ;      ;       ;TC 1936+3700, Saloranta J1936+3700                                                                         ;
12 Tri Grp            ;Tri  ;02 28 22.0 +29 47 48 ;Op   ;***  ;   33.00;      ;      ;       ;                                                                                                           ;
13 Sge Grp            ;Sge  ;20 00 00.0 +17 36 36 ;Op   ;***  ;   14.00;      ;      ;       ;                                                                                                           ;
15 Sge Grp            ;Sge  ;20 03 59.0 +17 03 42 ;Op   ;***  ;   13.00;      ;      ;       ;                                                                                                           ;
22 Lyn Grp            ;Lyn  ;07 30 17.0 +49 57 30 ;Op   ;***  ;   43.00;      ;      ;       ;                                                                                                           ;
24 Sgr Grp            ;Sgr  ;18 33 57.0 -24 08 00 ;Op   ;***  ;   20.00;      ;      ;       ;                                                                                                           ;
28 Peg Grp            ;Peg  ;22 10 03.0 +20 59 00 ;Op   ;***  ;   21.00;      ;      ;       ;TC 2210+2059, Raymond 11                                                                                   ;
29 Aur Grp            ;Cam  ;05 50 42.0 +56 54 12 ;Op   ;***  ;    3.50;      ;      ;       ;                                                                                                           ;
32 And Grp            ;And  ;00 40 47.0 +39 29 24 ;Op   ;***  ;   17.00;      ;      ;       ;                                                                                                           ;
41 Sex Grp            ;Sex  ;10 50 09.0 -08 54 12 ;Op   ;***  ;   45.00;      ;      ;       ;Kernya 3                                                                                                   ;
42 Lib Grp            ;Lib  ;15 39 22.0 -23 24 48 ;Op   ;***  ;   55.00;      ;      ;       ;                                                                                                           ;
43 Per Grp            ;Per  ;03 55 45.0 +50 38 00 ;Op   ;***  ;   25.00;      ;      ;       ;TC 0355+5038                                                                                               ;
51 Aql Grp            ;Aql  ;19 50 45.0 -10 52 18 ;Op   ;***  ;   51.00;      ;      ;       ;                                                                                                           ;
51 Eri Grp            ;Eri  ;04 37 47.0 -02 39 42 ;Op   ;***  ;   24.00;      ;      ;       ;                                                                                                           ;
57 Her Grp            ;Her  ;16 57 38.0 +25 10 48 ;Op   ;***  ;   26.00;      ;      ;       ;                                                                                                           ;
59 Dra Grp            ;Dra  ;19 14 12.0 +76 31 00 ;Op   ;***  ;   52.00;      ;      ;       ;                                                                                                           ;
