Theia 1586                    ; And  ; 00 04 54.3 +46 15 22; Op    ; OC   ;   699.00;   568;     ; 9.450;* ;                                                       ;
Theia 1093                    ; And  ; 00 12 22.6 +38 59 09; Op    ; OC   ;   714.00;   239;     ; 8.950;* ;                                                       ;
UBC 2                         ; And  ; 00 23 12.0 +46 35 24; Op    ; OCR? ;   120.00;   575;0.190; 8.160;* ;Alessi 94                                              ;
Theia 1012                    ; And  ; 00 26 30.9 +39 35 01; Op    ; OC   ;  1296.00;   291;     ; 8.850;* ;                                                       ;
Theia 1625                    ; And  ; 00 48 42.0 +38 49 03; Op    ; OC   ;   622.00;   694;     ; 9.450;* ;                                                       ;
Theia 1102                    ; And  ; 01 08 47.0 +39 12 28; Op    ; OC   ;  1379.00;   372;     ; 8.950;* ;                                                       ;
NGC 752                       ; And  ; 01 57 05.3 +37 47 24; Op    ; OC   ;    58.20;   441;0.051; 9.170;* ;                                                       ;
Theia 1304                    ; And  ; 01 59 10.8 +41 03 12; Op    ; OC   ;   433.00;   611;     ; 9.150;* ;                                                       ;
UPK 286                       ; And  ; 02 01 18.3 +43 47 06; Op    ; OC   ;    15.40;   807;     ; 7.900;* ;                                                       ;
Theia 959                     ; And  ; 02 15 01.0 +38 16 26; Op    ; OC   ;  1093.00;   622;     ; 8.750;* ;                                                       ;
NGC 956                       ; And  ; 02 32 16.7 +44 36 08; Op    ; OC?  ;    42.00;  2020;0.238; 8.900;* ;                                                       ;Somewhat dubious
COIN-Gaia 8                   ; And  ; 02 36 11.5 +50 00 47; Op    ; OC   ;    37.40;   720;     ;      ;* ;UBC 48                                                 ;
OPD 83                        ; And  ; 02 37 55.8 +46 44 34; Op    ; MG   ;   900.00;   133;0.000; 9.250;* ;                                                       ;Found 11* to G<14.5, good RVs
Theia 824                     ; And  ; 22 58 49.4 +44 07 51; Op    ; OC   ;   731.00;   445;     ; 8.650;* ;                                                       ;
Theia 1210                    ; And  ; 23 03 16.5 +38 18 46; Op    ; OC   ;   581.00;   435;     ; 9.050;* ;                                                       ;
UPK 189                       ; And  ; 23 05 39.4 +49 22 22; Op    ; OC   ;    10.22;   552;     ; 8.450;* ;                                                       ;
ASCC 126                      ; And  ; 23 05 49.2 +51 04 12; Op    ; OC?  ;    33.60;   772;0.100; 7.260;* ;Theia 1165                                             ;
Theia 100                     ; And  ; 23 08 07.2 +45 10 38; Op    ; OC   ;   356.00;   480;     ; 7.550;* ;                                                       ;
Theia 917                     ; And  ; 23 11 54.5 +50 02 40; Op    ; OC   ;   835.00;   379;     ; 8.750;* ;                                                       ;
Theia 465                     ; And  ; 23 17 41.7 +45 27 06; Op    ; OC   ;   433.00;   602;     ; 8.250;* ;                                                       ;
Theia 1009                    ; And  ; 23 18 33.2 +50 53 50; Op    ; OC   ;  1510.00;   195;     ; 8.850;* ;                                                       ;
Theia 401                     ; And  ; 23 19 34.9 +47 59 11; Op    ; OC   ;   656.00;   682;     ; 8.150;* ;                                                       ;
Theia 141                     ; And  ; 23 22 18.4 +42 55 25; Op    ; OC   ;   494.00;   420;     ; 7.750;* ;                                                       ;
Theia 697                     ; And  ; 23 32 11.4 +45 08 14; Op    ; OC   ;   638.00;   362;     ; 8.550;* ;                                                       ;
Theia 1635                    ; And  ; 23 35 09.0 +48 47 56; Op    ; OC   ;   826.00;   435;     ; 9.450;* ;                                                       ;
Theia 126                     ; And  ; 23 36 03.0 +47 45 24; Op    ; OC   ;   405.00;   619;     ; 7.650;* ;                                                       ;
