2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
2MASS J1819-1328       ;Ser  ;18 19 51.0 -13 27 58 ;IR   ;OC?  ;    3.00;  1420;       ;                                                       ;Dubious, grp found by Alessi in 2MASS/Spitzer Aladin
2MASS J1842-0330       ;Aql  ;18 42 19.9 -03 30 09 ;IR   ;OC   ;    1.00;  3430;       ;                                                       ;
AB Dor Assoc           ;Col  ;05 42 56.4 -41 53 14 ;Op   ;YAs  ; 3000.00;    50;   7.70;                                                       ;Coords and diam of its nucleus
ADS 12696 Cl           ;Cyg  ;19 37 10.0 +29 20 01 ;Op   ;OCR? ;    4.00;   327;   7.70;                                                       ;Suggested as POCR by van Albada (1968)
AM-3                   ;Tuc  ;23 48 59.0 -72 56 43 ;Op   ;OC   ;    0.90; 61940;       ;ESO 28-4                                               ;Old IAC
ASCC 122               ;Lac  ;22 34 41.0 +39 37 56 ;Op   ;OB   ;   90.00;   506;   6.98;Lac OB1, Escorial 35, 8 Lac AB Cl                      ;
ASCC 17                ;Aur  ;05 25 19.2 +30 10 55 ;Op   ;OC   ;   23.40;  1850;   7.12;                                                       ;
ASCC 21 B              ;Ori  ;05 31 37.0 +02 17 49 ;Op   ;OC   ;   86.40;   357;   7.11;                                                       ;
ASCC 22 B              ;Ori  ;06 14 49.4 +00 40 19 ;Op   ;OC?  ;   37.00;  1570;       ;                                                       ;Cons spread in pars
ASCC 33                ;CMa  ;07 03 44.9 -25 03 18 ;Op   ;OC   ;  325.00;   789;   7.36;Theia 86                                               ;
ASCC 37                ;CMa  ;07 18 03.6 -24 30 00 ;Op   ;OC?  ;   12.00;  2500;   8.73;                                                       ;Dubious, 29' n NGC 2362
ASCC 47                ;Vel  ;08 31 47.3 -39 03 18 ;Op   ;OC   ;   33.60;   780;   8.30;Alessi-Teutsch 7, Alessi J0831-3904                    ;
ASCC 55                ;Vel  ;09 54 00.0 -57 04 37 ;Op   ;OC?  ;   33.00;   535;   8.45;Theia 944                                              ;
ASCC 70                ;Cru  ;12 14 49.2 -64 24 00 ;Op   ;OB   ;   42.00;  1930;   6.92;Alessi 38                                              ;
ASCC 72                ;Cru  ;12 33 05.3 -60 55 48 ;Op   ;OC?  ;   24.00;  2060;   8.13;                                                       ;Dubious
ASCC 82                ;TrA  ;15 47 02.4 -64 24 43 ;Op   ;OC?  ;   25.20;   557;   8.67;Theia 181                                              ;
ASCC 83                ;Nor  ;15 50 04.1 -52 47 24 ;Op   ;OC?  ;   20.40;   450;   8.40;Theia 624                                              ;
ASCC 84                ;TrA  ;15 54 54.0 -60 44 24 ;Op   ;OC   ;   30.00;   920;   7.68;                                                       ;
AWJ 259.00-03.25       ;Pup  ;08 18 44.2 -41 44 26 ;Op   ;OC   ;   75.00;   500;       ;                                                       ;from arXiv:1807.09262v1, only low-mass stars, Alessi: dist abg of faint GDR2 stars in the field
AWJ 260.25-10.25       ;Pup  ;07 49 06.2 -46 27 54 ;Op   ;OC   ;   85.00;   397;       ;                                                       ;from arXiv:1807.09262v1, only low-mass stars, Alessi: Avg of F stars in the area (G > 12)
Achernar Subgr         ;Eri  ;01 37 42.8 -57 14 12 ;Op   ;YAs  ;  780.00;    46;   7.57;                                                       ;Diam is tentative, Clump/subgroup in Tuc-Hor Assoc, which is Part of the Great Austral Nearby Young Assoc (GAYA). Centered on Achernar
Aladin 10              ;Cru  ;12 23 14.0 -61 38 17 ;Op   ;OC   ;    0.60;  3090;       ;                                                       ;
Aladin 11              ;Cru  ;12 34 23.5 -61 11 36 ;IR   ;OC   ;    8.00;  2370;   7.81;VX Cru                                                 ;Near Cepheid VX Cru
Aladin 12              ;Cru  ;12 11 45.0 -62 51 46 ;Op   ;OC   ;    2.40;  5200;       ;                                                       ;
Aladin 14              ;Cru  ;12 14 18.0 -61 01 42 ;Op   ;OC?? ;   14.00;  2600;       ;                                                       ;
Aladin 15              ;Cru  ;11 58 12.2 -63 33 51 ;Op   ;OC   ;    3.20;  3100;       ;                                                       ;
Aladin 7               ;Cru  ;12 53 08.0 -62 42 28 ;Op   ;OC   ;    2.20;  2800;       ;                                                       ;
Aladin B               ;Sct  ;18 42 30.8 -06 36 12 ;Op   ;OC   ;   12.30;  3484;   6.70;FF 297                                                 ;
Aladin C               ;Sct  ;18 25 08.0 -13 16 24 ;Op   ;OC   ;   12.90;  2101;   6.60;FF 2115                                                ;Optical Grp forming a very close pair to an IR embedded cluster BDSB 8. Are they the same object?
Aladin J1807-2126      ;Sgr  ;18 07 11.3 -21 26 38 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Aladin J1843-0351      ;Aql  ;18 43 15.8 -03 51 51 ;Op   ;OC   ;    2.60;  3000;       ;                                                       ;
Alessi 100             ;Aur  ;05 47 53.0 +35 14 28 ;Op   ;OC   ;   22.00;   775;       ;                                                       ;
Alessi 107             ;Sex  ;10 29 29.0 -02 44 21 ;Op   ;MG?  ;  420.00;   103;       ;                                                       ;Includes Beta, Delta and 25 Sextantis
Alessi 138             ;Car  ;08 14 31.0 -58 06 06 ;Op   ;OC?  ;    4.00;      ;       ;Alessi J0814-5806                                      ;
Alessi 156             ;Pup  ;08 14 09.0 -14 33 41 ;Op   ;OC?  ;    7.00;      ;       ;Alessi J0814-1432                                      ;
Alessi 163 A           ;Mus  ;11 20 07.8 -72 01 15 ;Op   ;OB   ;  212.00;   247;   7.58;HIP 55350 Assoc                                        ;Plx=3.82..4.20, pmRA= -26.8..-25.0, pmDe= -3.2..-0.1, G<14, RV= -8..+8 (if available)
Alessi 163 B           ;Mus  ;11 20 40.6 -70 50 42 ;Op   ;OB   ;  242.00;   285;   8.42;HIP 54833 Assoc                                        ;Plx=3.39..3.69, pmRA= -22.8..-21.1, pmDe= -2.9..-0.5, G<14, RV= 0..+15 (if available)
Alessi 173             ;Mon  ;06 49 09.0 +00 37 24 ;Op   ;OC?  ;   40.00;      ;       ;                                                       ;
Alessi 192             ;Pup  ;07 31 55.0 -20 22 23 ;Op   ;OC?  ;   38.00;      ;       ;                                                       ;
Alessi 206             ;Mon  ;07 03 26.0 -07 47 20 ;Op   ;OC?  ;   32.00;      ;       ;                                                       ;
Alessi 225             ;Cen  ;12 08 21.5 -50 43 21 ;Op   ;OC?  ;   12.00;   127;   7.33;Delta Cen Cl                                           ;Adopted distance and age of Delta Cen. Includes HD 105382 and HD 105383. Shows nicely in WISE 3.4
Alessi 235             ;CMa  ;07 16 00.0 -25 07 48 ;Op   ;OC?  ;   14.00;  3700;       ;                                                       ;Dubious
Alessi 66              ;Pup  ;07 35 38.0 -27 46 16 ;Op   ;OC?  ;    2.50;      ;       ;Alessi J0735-2746                                      ;
Alessi 81              ;Cap  ;20 21 01.0 -14 46 53 ;Op   ;MG?  ;  420.00;   163;   8.00;Beta-1 Cap Grp                                         ;Dubious
Alessi J0022+6234      ;Cas  ;00 22 07.6 +62 34 59 ;Op   ;OC   ;   44.88;  3460;   8.72;                                                       ;
Alessi J0133+6015      ;Cas  ;01 33 43.6 +60 15 25 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;VB73 128 plus Iss 47 (VB73 132)
