NGC 272               ;And  ;00 51 26.0 +35 49 18  ;***  ;    5.0 ;                                                  
Webb 3                ;And  ;01 24 26.0 +39 02 30  ;***  ;    4.0 ;HD 8481 Grp                                       
NGC 7686              ;And  ;23 29 41.3 +49 10 12  ;***  ;   13.2 ;Collinder 456                                     
ESO 315-14            ;Ant  ;09 35 25.0 -39 32 00  ;***  ;    3.0 ;                                                  
ESO 435-9             ;Ant  ;09 55 28.1 -28 57 54  ;***  ;   24.6 ;                                                  
ESO 435-17            ;Ant  ;09 58 46.1 -30 54 29  ;***  ;   12.0 ;                                                  
ESO 435-33            ;Ant  ;10 03 54.0 -32 03 00  ;***  ;    8.4 ;                                                  
ESO 435-48            ;Ant  ;10 09 32.4 -28 21 29  ;***  ;   18.6 ;                                                  
ESO 436-2             ;Ant  ;10 13 57.4 -29 10 05  ;***  ;   18.6 ;                                                  
Alessi 4              ;Ant  ;10 16 08.0 -34 15 15  ;***  ;   60.0 ;                                                  
ESO 21-6              ;Aps  ;14 15 51.8 -78 30 54  ;***  ;   19.8 ;                                                  
ESO 43-13             ;Aps  ;17 04 44.4 -74 21 00  ;***  ;   16.8 ;                                                  
NGC 6773              ;Aql  ;19 15 03.0 +04 52 54  ;***  ;    8.6 ;                                                  
NGC 6775              ;Aql  ;19 16 48.0 +00 55 19  ;***  ;   13.8 ;                                                  
Dolidze 35            ;Aql  ;19 25 24.5 +11 38 06  ;***  ;   12.6 ;                                                  
NGC 6795              ;Aql  ;19 26 22.0 +03 30 54  ;***  ;    8.0 ;                                                  
Collinder 401         ;Aql  ;19 38 21.0 +00 20 43  ;***  ;    1.4 ;                                                  
Kronberger 3          ;Aql  ;19 39 00.0 +06 46 05  ;***  ;    9.6 ;                                                  
NGC 6828              ;Aql  ;19 50 14.9 +07 54 18  ;***  ;   25.8 ;                                                  
NGC 6837              ;Aql  ;19 53 06.0 +11 41 42  ;***  ;   12.0 ;                                                  
NGC 6840              ;Aql  ;19 55 19.2 +12 07 48  ;***  ;   14.4 ;                                                  
NGC 6843              ;Aql  ;19 56 11.3 +12 10 55  ;***  ;   12.0 ;                                                  
NGC 6859              ;Aql  ;20 03 49.0 +00 26 36  ;***  ;   10.0 ;                                                  
NGC 6863              ;Aql  ;20 05 07.0 -03 33 20  ;***  ;    3.0 ;                                                  
NGC 6980              ;Aqr  ;20 52 48.0 -05 50 12  ;***  ;   10.0 ;                                                  
NGC 6994              ;Aqr  ;20 58 55.0 -12 38 00  ;***  ;    9.0 ;M 73                                              
NGC 7005              ;Aqr  ;21 01 57.0 -12 52 50  ;***  ;    4.0 ;                                                  
Water Jar             ;Aqr  ;22 29 12.0 +00 01 00  ;***  ;  180.0 ;                                                  
ESO 137-43            ;Ara  ;16 48 24.7 -61 45 00  ;***  ;   10.8 ;                                                  
ESO 278-2             ;Ara  ;17 05 22.0 -46 07 30  ;***  ;    4.0 ;                                                  
ESO 139-13            ;Ara  ;17 37 49.7 -58 08 42  ;***  ;   18.0 ;                                                  
ESO 229-2             ;Ara  ;17 59 40.1 -51 41 42  ;***  ;   16.8 ;                                                  
Musca Borealis        ;Ari  ;02 45 00.0 +27 00 00  ;***  ;  120.0 ;Lillium                                           
Dol-Dzim 1            ;Ari  ;02 47 30.0 +17 16 00  ;***  ;   14.0 ;                                                  
