Streicher 1         ;Gem  ;06 58 36.0 +29 19 30 ;Op   ;***  ;    18.0;      ;      ;                                                    ;
Streicher 1 A       ;Gem  ;06 59 01.0 +29 17 42 ;Op   ;***  ;     6.5;      ;      ;                                                    ;
Streicher 2         ;Gem  ;07 23 10.0 +29 16 54 ;Op   ;***  ;     5.5;      ;      ;                                                    ;
Streicher 3         ;Gem  ;07 29 04.0 +34 25 24 ;Op   ;***  ;     8.0;      ;      ;                                                    ;
Streicher 4         ;Gem  ;07 48 37.0 +34 22 12 ;Op   ;***  ;     3.0;      ;      ;                                                    ;
Streicher 5         ;Cas  ;01 14 48.0 +59 47 34 ;Op   ;***  ;     5.5;      ;      ;                                                    ;
Streicher 6         ;Pup  ;08 08 37.0 -15 11 06 ;Op   ;***  ;    10.0;      ;      ;Southern Little Queen                               ;
Streicher 7         ;Car  ;07 53 36.0 -62 20 54 ;Op   ;***  ;     6.0;      ;      ;Tiny Southern Cross                                 ;
Streicher 8         ;Ant  ;10 13 52.0 -40 19 48 ;Op   ;***  ;     3.1;      ;      ;                                                    ;
Streicher 9         ;Pup  ;08 12 48.0 -12 18 06 ;Op   ;***  ;     2.9;      ;      ;                                                    ;
Streicher 10        ;Pav  ;18 15 22.0 -70 42 30 ;Op   ;***  ;    12.0;      ;      ;                                                    ;
Streicher 11        ;Ant  ;10 24 03.0 -31 28 54 ;Op   ;***  ;    12.0;      ;      ;                                                    ;
Streicher 12        ;Ant  ;10 31 45.0 -33 06 00 ;Op   ;***  ;     5.5;      ;      ;                                                    ;
Streicher 13        ;Aps  ;16 07 25.0 -77 20 48 ;Op   ;***  ;    20.0;      ;      ;                                                    ;
Streicher 14        ;Aps  ;14 57 10.0 -71 20 54 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 15        ;Ara  ;17 34 38.0 -48 35 00 ;Op   ;***  ;    17.0;      ;      ;                                                    ;
Streicher 16        ;Ara  ;16 47 32.0 -53 40 42 ;Op   ;***  ;     4.8;      ;      ;                                                    ;
Streicher 17        ;Cae  ;04 51 15.0 -34 14 00 ;Op   ;***  ;    17.0;      ;      ;                                                    ;
Streicher 18        ;Cae  ;04 28 28.0 -37 40 48 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 19        ;Cae  ;05 01 12.0 -31 32 36 ;Op   ;***  ;    41.0;      ;      ;                                                    ;
Streicher 20        ;CMi  ;07 43 42.0 +04 50 12 ;Op   ;***  ;     4.2;      ;      ;                                                    ;
Streicher 21        ;Cha  ;08 51 00.0 -80 09 30 ;Op   ;***  ;    22.0;      ;      ;                                                    ;
Streicher 22        ;Crv  ;12 48 40.0 -20 16 54 ;Op   ;***  ;    18.0;      ;      ;                                                    ;
Streicher 23        ;Crv  ;12 47 19.0 -19 03 42 ;Op   ;***  ;    32.0;      ;      ;                                                    ;
Streicher 24        ;Crt  ;11 11 37.0 -08 36 30 ;Op   ;***  ;     8.5;      ;      ;                                                    ;
Streicher 25        ;Gem  ;06 54 51.0 +28 54 54 ;Op   ;***  ;    10.0;      ;      ;                                                    ;
Streicher 26        ;Hyi  ;02 40 18.0 -70 02 48 ;Op   ;***  ;     5.0;      ;      ;                                                    ;
