Name                             PNstat         RAJ2000    DECJ2000      MajDiam   Catalogue           
TX Oph                           RVtau          17 04 00.1 +04 59 00.8             2007A&A...469..799S 
A55 71                           artif          23 54 00.0 +67 30 00.0             1955PASP...67..258A 
ESO-HA 342                       PN??           06 40 01.3 +09 43 00.5             2009A&A...504..291V 
ESO 522-29                       notPN?         18 29 02.4 -23 51 00.0             1992secg.book.....A 
2MASS J0547+2100                 PN??           05 47 03.1 +21 00 00.9             2009A&A...504..291V 
PN G334.2-00.9                   PN:            16 28 03.5 -50 10 00.4             aacker              
ESO 449-2                        notPN?         15 14 05.0 -32 42 00.0             1992secg.book.....A 
Kam 22                           PN??           01 04 05.7 -72 07 00.3             2014MNRAS.439.2211K 
PN G035.3-01.1                   PN??           19 00 06.4 +01 39 00.7             2015arXiv150708182F 
PM 1-115                         PN             16 51 06.3 -32 23 00.4             1992secg.book.....A 
ESO 450-26                       notPN?         15 57 06.0 -32 28 00.0             1992secg.book.....A 
ESO 180-5                        artif          17 17 09.6 -53 36 00.0             1992secg.book.....A 
PN G072.5+01.4                   notPN?         20 08 11.5 +35 25 00.5             2009A&A...502..113V 
LS III +59 86                    Em*            23 39 11.0 +59 42 00.1             IPHAS_candidates    
PN G169.6-00.0a                  notPN?         05 18 12.0 +37 36 00.0             2001A&A...378..843K 
KnPa J1914.2+4155                notPN?         19 14 12.0 +41 55 00.0             DFrew               
PN G020.6-00.6                   PN??           18 31 13.3 -11 14 00.9             CornishCandidates   
PN G233.0-00.2                   notPN?         07 28 14.4 -17 57 00.0             1992secg.book.....A 
ESO 310-11                       Gx?            07 19 15.0 -40 00 00.0             1992secg.book.....A 
AC Her                           RVtau          18 30 16.2 +21 52 00.8             2001A&A...378..843K 
Hen 2-468                        notPN?         20 41 16.8 +34 45 00.0             1992secg.book.....A 
PM 1-244                         notPN?         18 35 19.9 -06 40 00.1             1988A&AS...76..317P 
ESO 369-1                        artif          07 52 19.2 -36 27 00.0             1992secg.book.....A 
PHR J0819-4422                   PN??           08 19 20.2 -44 33 00.0             MEN_List            
IRAS 15365-5435                  Y*?            15 40 21.6 -54 45 00.0             MEN_List            
K 4-19                           PN             19 13 22.6 +03 25 00.3             1992secg.book.....A 
PM 1-267                         notPN          18 56 22.6 +05 53 00.5             2001A&A...378..843K 
