Intrinsically very bright and/or large and/or massive galaxies

NOTES
1 QSO's or any kind of active galaxy without a discernible/measured diameter are excluded
2 Constraints: d <= 2.5 GPc AND (MB < -20 OR Diam > 40 Kpc) AND must have a discernible body
3 Objets that are individually not bright and/or large enough to be included here, but are bright/large if you consider the summed contribution of close
  companions are excluded, (e.g. few compact clusters listed as one entry in the ESO catalog), but intrinsically bright/large objects that are part of
  multiple systems (that probably canibalized many smaller galaxies) are included
4 Caveats: Is cannot be considered complete given that there are probably many giant/luminous BGC (Brightest Galaxy in Clusters) and a few nonstellar
  QSO's that are not included here
5 Sometimes objects listed here are larger and brighter than listed values due, e.g. to the presence of faint extended halos, to non-homogeinity as to
  what surface brightness level those values were measured, etc

Check: 2019ApJS..243...14O - The Ogle et al. Galaxy Catalog (OGC) (Ogle+, 2019)

Galaxy                   ;Alias           ;Diam'  ;Mag   ;Band;Type                       ;RV Km/s ;Dist MPc;Diam KPc;MB    ;Cluster/Group      ;Notes

PKS 0400-181             ;                ;  0.56 ;16.56 ;B   ;S                          ;102229  ;1400.4  ; 228.1  ;-24.2 ;                   ;
IRAS F03071-0838         ;                ;  0.71 ;15.96 ;g   ;Sc                         ; 80567  ;1103.7  ; 227.9  ;-24.3 ;                   ;
ESO 257-5                ;                ;  1.0  ;16.2  ;B   ;Sa                         ; 46407  ; 635.7  ; 184.9  ;-22.8 ;                   ;Aladin: ~0.7'
2MFGC 8638               ;                ;  0.9  ;17.5  ;g   ;Sc sp Liner                ; 45690  ; 630.6  ; 177.1  ;-23.9g;[SPD2011] 42696    ;the most massive super spiral known to date, with a dark matter halo weighing at least 40 trillion Suns
ESO 295-28               ;                ;  1.02 ;16.95 ;B   ;Sc sp                      ; 41279  ; 565.5  ; 167.8  ;-21.8 ;                   ;
ESO 248-6                ;                ;  2.2  ;14.8  ;B   ;SO?                        ; 22816  ; 258    ; 165.1  ;-22.3 ;Abell 3112         ;
2MFGC 12344              ;                ;  0.9  ;14.6  ;z   ;S sp Liner                 ; 42694  ; 629.7  ; 164.9  ;-24.6z;                   ;
PGC 67298                ;                ;  2.4  ;15.48 ;B   ;cD5 pec:                   ; 16119  ; 220.8  ; 154.1  ;-21.2 ;                   ;
2MASX J16394598+4609058  ;OGC 139         ;  0.52 ;18.3  ;g   ;S sp                       ; 74151  ;1015.8  ; 153.7  ;-21.7 ;                   ;
ESO 473-5                ;                ;  2.0  ;14.6  ;B   ;Sc                         ; 19338  ; 262.3  ; 152.6  ;-22.5 ;Abell 14           ;
4C 53.16                 ;                ;  1.9  ;14.55 ;B   ;cD, BrClG                  ; 19069  ; 261.2  ; 144.4  ;-22.5 ;ZwCl 0712.9+5334   ;
UGC 2195                 ;                ;  1.1  ;15.4  ;B   ;Sd                         ; 32168  ; 436.7  ; 139.7  ;-22.8 ;                   ;
CGCG 45-47               ;                ;  0.6  ;15.6  ;p   ;SABc                       ; 57650  ; 796.5  ; 139.0  ;-23.9 ;                   ;
IRAS F13279+3402         ;                ;  0.32 ;17.2  ;V   ;Dbl?, QSO                  ;107925  ;1478.4  ; 137.6  ;-23.6 ;                   ;
UGC 2438                 ;                ;  1.6  ;16.5  ;B   ;cD                         ; 21378  ; 292.8  ; 136.3  ;-20.8 ;Abell 399          ;
2MASX J23444387-4243124  ;Phoenix A       ;  0.19 ;18.55 ;B   ;cD, Sy2                    ;179072  ;2453.0  ; 135.6  ;-23.4 ;SPT-CL J2344-4243  ;Located in one of the most massive clusters known
IC 1551                  ;                ;  2.6  ;14.3  ;B   ;Sc                         ; 13040  ; 178.6  ; 135.1  ;-22.0 ;                   ;
3C 273                   ;                ;  0.7  ;12.9  ;B   ;Blazar, Sy1, LPQ, FSRQ     ; 47469  ; 656.5  ; 133.7  ;-26.2 ;                   ;Well-known QSO
CGCG 92-7                ;                ;  0.63 ;15.7  ;p   ;                           ; 52164  ; 716.7  ; 131.3  ;-23.6 ;                   ;
4C 32.26                 ;                ;  1.6  ;15.5  ;g   ;E                          ; 20416  ; 281.3  ; 130.9  ;-21.7 ;                   ;
2MASX J00203715+2839334  ;                ;  1.35 ;16.1  ;?   ;cD                         ; 28333  ; 333.0  ; 130.8  ;-21.5 ;Abell 21           ;
3C 348                   ;Hercules A      ;  0.7  ;18.1  ;B   ;WLRG, NLRG, ELEG           ; 46468  ; 642.5  ; 130.8  ;-20.9 ;                   ;
IC 1101                  ;                ;  1.4  ;14.73 ;B   ;cD, SO-:                   ; 23368  ; 320.1  ; 130.4  ;-22.8 ;                   ;Actually much larger than the listed diam implies (600 Kpc). Aladin: ~2.1'
IC 983                   ;Arp 117         ;  6.0  ;12.5  ;B   ;SB(r)bc                    ;  5443  ;  74.6  ; 130.2  ;-21.9 ;                   ;
Malin 1                  ;                ;  1.3  ;17.8  ;B   ;S, GLSBG                   ; 24750  ; 339.0  ; 128.2  ;-19.9 ;                   ;Can be as large as 230 Kpc
OGC 1304                 ;                ;  0.6  ;15.7  ;i   ;S pec                      ; 49332  ; 728.8  ; 128.0  ;-23.8i;                   ;
3C 357                   ;                ;  0.64 ;17.5  ;g   ;E                          ; 49810  ; 686.6  ; 127.8  ;-21.7 ;                   ;
NGC 4104                 ;                ;  3.5  ;13.06 ;B   ;SO, BrClG                  ;  8453  ; 115.8  ; 117.9  ;-22.3 ;                   ;
SGC 0220.2-4847          ;                ;  1.5  ;14.7  ;B   ;cD2                        ; 19703  ; 269.9  ; 117.8  ;-22.5 ;Abell 3009         ;
NGC 4839                 ;                ;  4.0  ;13.02 ;B   ;cD, SA0                    ;  7362  ; 100.8  ; 117.3  ;-22.0 ;                   ;
NGC 3520                 ;                ;  1.4  ;14.87 ;B   ;cD4 p                      ; 20892  ; 286.2  ; 116.6  ;-22.4 ;                   ;
NGC 1262                 ;                ;  0.85 ;15.0  ;B   ;SAB(s)c:                   ; 34674  ; 470.4  ; 116.3  ;-23.4 ;                   ;
2MASX J22461535-5243269  ;                ;  1.0  ;17.0  ;B   ;cD2 p                      ; 29198  ; 399.8  ; 116.3  ;-21.0 ;Abell 3911         ;
6dF J1401364-110743      ;                ;  1.4  ;14.59 ;B   ;cD                         ; 20722  ; 283.9  ; 115.6  ;-22.7 ;Abell 1837         ;
ESO 198-1                ;                ;  1.5  ;14.36 ;B   ;cD4                        ; 19268  ; 263.9  ; 115.1  ;-22.7 ;                   ;
UGC 8738                 ;                ;  1.25 ;15.31 ;B   ;SO-?, BrClG, BL Lac        ; 22626  ; 309.9  ; 112.7  ;-22.1 ;Abell 1800         ;
ESO 156-18               ;                ;  2.1  ;14.5  ;B   ;SAB(s)Oo: pec              ; 13315  ; 182.4  ; 111.4  ;-21.8 ;                   ;
UGC 2450                 ;                ;  1.25 ;15.2  ;B   ;cD                         ; 22275  ; 305.1  ; 110.9  ;-22.2 ;Abell 401          ;
NGC 6872                 ;VV 297          ;  6.0  ;12.1  ;B   ;SAB(rs)c                   ;  4555  ;  62.4  ; 108.9  ;-21.9 ;                   ;
ESO 306-17               ;                ;  2.5  ;13.33 ;B   ;cD3                        ; 10734  ; 147.0  ; 106.9  ;-22.5 ;                   ;
ESO 269-70               ;                ;  1.2  ;14.48 ;B   ;SAB(r)O+?                  ; 22300  ; 305.5  ; 106.6  ;-22.9 ;                   ;
UGC 1752                 ;                ;  1.5  ;16.5  ;B   ;SA(s)cd                    ; 17836  ; 244.3  ; 106.6  ;-20.4 ;                   ;
MCG-02-02-086            ;                ;  1.7  ;14.7  ;B   ;SB(r)Oo p:, cD             ; 16690  ; 215.0  ; 106.3  ;-22.0 ;Abell 85           ;
UGC 10104                ;                ;  2.7  ;14.2  ;B   ;SA(rs)bc                   ;  9841  ; 134.8  ; 105.9  ;-21.4 ;                   ;
2MASX J09470010+2540462  ;                ;  0.81 ;15.8  ;g   ;giant Spiral, bar, Sy1?    ; 32710  ; 448.1  ; 105.6  ;-22.5 ;                   ;
5C 3.178                 ;                ;  0.35 ;16.0  ;V   ;BL Lac                     ; 75458  ;1029.5  ; 104.8  ;-24.1 ;                   ;
ESO 409-25               ;                ;  1.4  ;14.3  ;B   ;cD4, BrClG                 ; 18553  ; 254.2  ; 103.5  ;-22.7 ;Abell 2734         ;
NGC 1316                 ;Fornax A        ; 18.3  ; 9.25 ;B   ;(R')SAB(s)Oo, LINER        ;  1760  ;  19.0  ; 101.1  ;-22.1 ;Fornax cluster     ;
2MASX J11535621+4923562  ;                ;  0.5  ;17.1  ;g   ;giant Spiral, BCG, Sy2     ; 50033  ; 685.4  ;  99.7  ;-22.1 ;OGC 586 Cl         ;
ESO 235-50               ;                ;  1.7  ;14.3  ;B   ;SA(rl)Oo                   ; 14713  ; 201.5  ;  99.6  ;-22.2 ;                   ;
2MASXI J1702424+340336   ;                ;  0.82 ;15.8  ;g   ;E                          ; 29811  ; 413.4  ;  98.6  ;-22.3 ;Abell 2244         ;
UGC 5440                 ;                ;  1.3  ;16.5  ;B   ;Sc(f)                      ; 18958  ; 259.7  ;  98.2  ;-20.6 ;                   ;
ESO 296-33               ;                ;  1.0  ;15.21 ;B   ;SB(rs)c                    ; 22764  ; 311.8  ;  90.7  ;-22.3 ;                   ;
NGC 1275                 ;Perseus A       :  4.5  ;12.4  ;B   ;cD pec, NLRG, Sy2, LEG     ;  5264  ;  69.0  ;  90.3  ;-21.8 ;Perseus cluster    ;Also 3C 84
UGC 2885                 ;                ;  3.9  ;13.5  ;B   ;SA(rs)c                    ;  5802  ;  79.5  ;  90.2  ;-21.0 ;                   ;
SDSS J1005+4016          ;                ;  0.3  ;16.4  ;z   ;SB sy1                     ; 69184  ;1020.4  ;  89.0  ;-24.0z;                   ;
Mrk 1014                 ;                ;  0.45 ;15.8  ;g   ;Sy 1                       ; 48899  ; 664.5  ;  87.0  ;-23.3 ;                   ;
APMBGC 344-018-105       ;                ;  0.75 ;15.1  ;?   ;                           ; 28709  ; 393.0  ;  85.7  ;-22.9 ;                   ;
UGC 6124                 ;                ;  1.5  ;16.5  ;B   ;S                          ; 14022  ; 192.1  ;  83.8  ;-19.9 ;                   ;
Malin 2                  ;                ;  1.5  ;15.28 ;B   ;Sd/p                       ; 13830  ; 189.5  ;  82.7  ;-21.1 ;                   ;
NGC 4889                 ;                ;  3.0  ;12.5  ;B   ;cD4, Dd, PAS               ;  6495  ;  94.3  ;  82.3  ;-22.4 ;Abell 1656         ;
2MASX J2102-0647         ;                ;  0.5  ;17.36 ;B   ;S sy1                      ; 38185  ; 563.2  ;  81.9  ;-20.7 ;                   ;
M 101                    ;                ; 40.0  ; 8.3  ;B   ;SAB(rs)cd, HII             ;   240  ;   7.0  ;  81.4  ;-20.9 ;M 101 group        ;
2MASX J10301576-0106068  ;                ;  0.24 ;18.3  ;g   ;giant Spiral, bar          ; 84617  ;1159.1  ;  80.9  ;-22.0 ;                   ;
ESO 349-3                ;                ;  1.0  ;14.7  ;B   ;R'SA(rs)cd                 ; 20104  ; 275.4  ;  80.1  ;-22.5 ;Abell S 1157       ;
