Name                  rad   Coord (J2000)    Diam  axra  extB  Bmag   Morphology                 Dist  Meth  Main Disturber

Messier 81             0.0  0955335+690400  28.18  0.52  0.36   7.8   SA(s)ab, LINER, Sy1.8      3.63   Cep  Messier 82
Holm IX               10.7  0957324+690235   2.63  0.80  0.35  14.5   Im                         3.61  TRGB  Messier 81
BK 3N                 11.1  0953485+685809   0.32  0.80  0.35  18.8   dIrr                       4.02  TRGB  Messier 81
A 0952+69             16.0  0957290+691620   1.82  0.53  0.37  16.8   dIrr                       3.87  TRGB  NGC 3077
Clump I               23.2  0957212+684255   0.18  0.72  0.31  19.8   dIrr                       3.60   mem  Messier 81
KDG 61                29.6  0957027+683530   1.41  0.58  0.31  15.2   dSph                       3.60  TRGB  Messier 81
[CKT2009] d0959+68    32.7  0959331+683925   0.79  0.70  0.32  18.0   dIrr                       4.17  TRGB  Messier 81
Clump III             36.9  1000404+683937   0.10  0.95  0.31  19.8   dIrr                       3.60   mem  Messier 81
Messier 82            37.0  0955539+694057  11.48  0.38  0.69   9.1   SBc sp, IO sp, Sbrst, HII  3.53  TRGB  Messier 81
NGC 3077              46.6  1003210+684402   6.46  0.83  0.29  10.6   IO p, HII, dE(N)           3.82  TRGB  Garland
Garland               49.4  1003420+684136   3.98  0.60  0.29  16.8   dIrr                       3.82  TRGB  NGC 3077
FM 1                  58.9  0945100+684554   0.89  0.89  0.31  17.5   dSph                       3.40  TRGB  Messier 82
[CKT2009] d0944+69    60.4  0944225+691240   0.20  0.99  0.41  21.0   dSph                       3.78  TRGB  Messier 81
BK 5N                 69.6  1004403+681520   0.79  0.75  0.25  17.5   dSph                       3.78  TRGB  NGC 3077
D1005+68              73.7  1005318+681420   0.32              20.8   dSph                       3.98  TRGB  BK 5N
IKN                   79.1  1008059+682357   2.69  0.85  0.26  16.5   dSph                       3.75  TRGB  Messier 81
[CKT2009] d0955+70    80.5  0955136+702429   0.35  0.87  0.64  19.5   dSph                       3.45  TRGB  Messier 82
NGC 2976              82.9  0947156+675449   5.75  0.46  0.30  11.0   SAc p, HII                 3.56  TRGB  Messier 81
KDG 64                97.6  1007019+674939   1.95  0.47  0.25  15.5   dSph/dIrr                  3.70  TRGB  Messier 81
KK 77                 98.3  0950100+673024   2.40  0.75  0.62  16.3   dSph                       3.48  TRGB  Messier 81
[CKT2009] d1015+69   104.9  1015069+690215   0.25  0.98  0.21  20.5   dSph                       3.87  TRGB  NGC 3077
[CKT2009] d1014+68   106.2  1014558+684527   0.20  0.90  0.20  20.2   dSph                       3.84  TRGB  NGC 3077
F8D1                 112.5  0944500+672832   2.19  0.91  0.41  15.7   dSph                       3.77  TRGB  Messier 81
[CKT2009] d1006+67   128.2  1006462+671204   0.32  0.97  0.31  19.7   dSph                       3.63  TRGB  Messier 81
[CKT2009] d0934+70   131.6  0934037+701257   0.59  0.86  1.11  19.3   dSph                       3.02  TRGB  Messier 81
[CKT2009] d0958+66   134.3  0958485+665059   0.87  0.58  0.26  16.0   dSph/dIrr                  3.82  TRGB  Messier 81
HIJASS J1021+6842    139.2  1021002+684200               0.09         dIrr                       3.70   mem  Messier 81
Holm I               148.4  0940323+711111   4.57  0.81  0.21  13.6   IAB(s)m                    3.84  TRGB  Messier 81
[CKT2009] d0944+71   155.2  0944344+712857   0.89  0.62  0.14  16.7   dSph                       3.36  TRGB  Messier 82
[CKT2009] d0939+71   158.1  0939159+711842   0.35  0.85  0.17  19.6   dSph                       3.75  TRGB  Messier 81
KDG 63               160.1  1005073+663318   1.91  0.88  0.41  16.0   dSph/dIrr                  3.50  TRGB  Messier 81
[CKT2009] d0926+70   173.6  0926279+703024   0.40  0.75  0.99  19.0   dSph/dIrr                  3.40  TRGB  Messier 82
HS 117               180.3  1021252+710658   1.51  0.60  0.49  17.3   dSph/dIrr                  3.96  TRGB  Messier 81
IC 2574              182.5  1028224+682458  13.18  0.41  0.16  10.8   SAB(s)m, HII               4.02  TRGB  Messier 81
[CKT2009] d1028+70   186.1  1028397+701401   0.71  0.77  0.17  16.2   BCD                        3.84  TRGB  Messier 81
DDO 78               190.6  1026279+673924   2.00  0.95  0.12  16.5   dSph                       3.72  TRGB  Messier 81
DDO 82               203.4  1030350+703710   3.39  0.59  0.19  13.5   Sm:                        4.00  TRGB  Messier 81
[CKT2009] d1041+70   247.2  1041168+700903   0.35  0.60  0.29  19.6   dSph                       3.70  TRGB  Messier 81
BK 6N                288.4  1034319+660042   1.10  0.64  0.05  16.9   dSph                       3.85  TRGB  Messier 81
KDG 73               304.9  1052571+693245   1.20  0.83  0.01  17.1   dIrr                       3.70  TRGB  Messier 81
UGC 5497             314.6  1012484+640627   0.89  0.74  0.08  15.6   BCD                        3.68  TRGB  Messier 81
KKH 57               354.0  1000160+631106   0.60  0.83  0.09  17.9   dSph                       3.91  TRGB  Messier 81
UGC 4483             414.3  0837030+694631   1.32  0.58  0.15  15.0   dIrr                       3.21  TRGB  Messier 81
KDG 52               480.3  0823560+710146   1.26  0.92  0.09  16.4   dIrr                       3.55  TRGB  Messier 81
DDO 53               493.5  0834065+661045   2.00  0.87  0.16  14.6   dIrr                       3.56  TRGB  Messier 81
Holm II              503.8  0819040+704251   8.91  0.86  0.14  11.1   Im                         3.39  TRGB  Messier 81
UGC 6456             696.3  1128006+785929   1.48  0.53  0.16  14.3   pec, HII                   4.35  TRGB  Messier 81
NGC 4236             739.6  1216433+692756  21.88  0.32  0.06  10.1   SB(s)dm                    4.45  TRGB  Messier 81
UGC 7242             800.9  1214074+660532   1.23  0.42  0.08  14.6   Scd:                       5.42  TRGB  NGC 4605
UGC 6757             829.2  1146591+612006   1.10  0.55  0.14  16.3   dIrr                       2.73     h  Messier 81
UGC 8245             947.1  1308342+785613   2.14  0.41  0.14  14.8   Im                         1.99     h  Messier 81
KKH 37               950.9  0647458+800726   1.15  0.67  0.33  16.4   dIrr                       3.39  TRGB  Messier 81
NGC 4605            1095.5  1240003+613629   6.17  0.37  0.06  10.9   SB(s)c p, HII              5.47  TRGB  Messier 81
NGC 3738            1108.8  1135486+543122   3.39  0.73  0.05  11.9   Im, HII, BCD               4.90  TRGB  Messier 81
KKH 34              1116.4  0559412+732539   0.93  0.56  1.08  17.1   dIrr                       4.61  TRGB  Messier 81
UGC 6541            1386.7  1133291+491417   1.74  0.57  0.08  14.4   dIrr                       3.89  TRGB  Messier 81
NGC 3741            1617.9  1136064+451707   1.48  0.55  0.10  14.4   Im/BCD                     3.03  TRGB  Messier 81
UGC 8508            1660.8  1330444+545436   2.14  0.59  0.06  14.1   IAm                        2.69  TRGB  Messier 81

NGC 2403             816.1  0736514+653558  28.18  0.56  0.18   8.8   SAB(s)cd, HII, LINER       3.18   Cep  DDO 44
NGC 2366             771.8  0728546+691219   7.24  0.36  0.16  11.7   IB(s)m, HII                3.19  TRGB  NGC 2403
DDO 44               794.3  0734113+665310   2.82  0.67  0.19  15.6   dSph/Im:                   3.19  TRGB  NGC 2403
MADCASH J0742+65     790.6  0742389+652502   0.35  0.59  0.13  20.5   dSph L                     3.39  TRGB  NGC 2403


Proj_dist > 2.5 MPc (2368') or Delta_dist > 2.5 Mpc (dist not in [1.13..6.13])

DDO 43              2055.3  0728172+404613   1.41  0.69  0.25  15.1   dIrr                       5.73    BS  Messier 81
DDO 190             2467.5  1424435+443133   2.40  0.89  0.05  13.1   IAm                        2.74  TRGB  Messier 81
NGC 6789            2643.3  1916418+635822   1.41  0.77  0.30  13.8   Im, BCD                    3.63  TRGB  Messier 81
KK 230              2877.2  1407107+350337   0.76  0.83  0.06  17.5   dIrr                       2.14  TRGB  Messier 81
LV J0913+1937       2992.2  0913390+193708   0.54  0.45  0.19  17.4   dIrr                       8.90   mem  Messier 81
HIPASS J0630+08     4145.7  0630090+082237               2.95         dIrr                       3.55     h  Messier 81
A 0554+07           4346.6  0557367+072931   0.72  0.40  2.55  18.4   dIrr                       5.50    BS  Messier 81
