--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Properties for Main Sequence (class V) O2-Y4 fusors 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Fusors are defined as both stars and Brown dwarfs - All SpT's later than ~ L4-5 are probably Brown Dwarfs

Retrieved from http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.dat in 06/Jul/2020
All data are Eric Mamajek's values, except:

1. Added O2V type. Data extracted from
   A New Spectral Classification System for the Earliest O Stars: Definition of Type O2 (2002AJ....123.2754W)
   A VLT/UVES spectroscopy study of O2 stars in the LMC (2011BSRSL..80..129D)
   BCv and Mv derived from formula BC = 27.58-6.80*logT (2005A&A...436.1049M)
2. Values for Teff, logT, logL, Mbol, BCv, Mv, R_Rsun and Msun for O3-O6.5 stars are from
   A new calibration of stellar parameters of Galactic O stars (2005A&A...436.1049M)
3. Added masses for L3 and L4 V types
   According to Baraffe et al. (2015), the Hydrogen Burning Minimum Mass occur at L4-5 V ST and Mass 0.070 MSun
   for solar metallicity stars. Adopted 0.07 MSun for L4 and interpolated mass value for L3
4. Added column LogAge (Logarithm of the lifetime in years) calculated using the equation 1.03*10^10 * (Msun / 10^logL)
   derived from https://www.maplesoft.com/applications/view.aspx?SID=154326&view=html
    The age of the universe is 13.8*10^9 yrs, (log_t = 10.14), so all stars with ST > G7 are still in the MS
5. Added Y3 and Y4 types. Values from T9.5 - Y4 types derived from my own list of Y dwarfs (see /low-mass/Y_dwarfs.txt)
   Any types later than Y0.5 are very uncertain given the extreme faintness and paucity of those objects
   None of subtypes > Y1 are standard, but are used in literature (TODO: put ref) and Y3 and Y4 are best understood as >=Y3 and >=Y4
6. Removed "V" from SpT column, given that all SpTs shown here are Main Sequence
7. Added types O2.5, O3.5, O4.5, O9.2, O9.7, B3.5, B4.5, B5.5, B6.5, B7.5, B8.5, L0.5, L1.5, L2.5, L3.5, L4.5, L5.5, L6.5, L7.5, L8.5, L9.5, T0.5, T1.5, T2.5, T3.5, T6.5
   Data derived by interpolation. Note that not all these types were observed or defined
   I'm certain about O2.5 (2014A&A...570A..38B), O3.5 (2002AJ....123.2754W), O9.2, O9.7 (arXiv:1807.03821v1) L and T, but not the remaining ones (O4.5, B)

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#SpT Teff  logT   logL  Mbol  BCv   Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G   b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks   Ks-W1  W1-W2  W1-W3  W1-W4  M_J   M_Ks  i-z  z-Y  R_Rsun Msun   LogAge #SpT 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
O2   52000 4.716  5.88 -10.0 -4.49 -5.53  ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  ...    80      6.036 O2  
O2.5 48300 4.684  5.84 -9.92 -4.27 -5.65  ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  ...    69      6.012 O2.5
O3   44600 4.649  5.80 -9.82 -4.04 -5.78 -0.33   ...    ...    ...    ...    ...   ...   -1.22   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  13.8   58.3    5.979 O3  
O3.5 44000 4.643  5.74 -9.63 -4.00 -5.63 -0.33   ...    ...    ...    ...    ...   ...   -1.21   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  13.0   52.2    5.991 O3.5
O4   43400 4.637  5.67 -9.45 -3.95 -5.50 -0.33   ...    ...    ...    ...    ...   ...   -1.20   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  12.3   46.2    6.007 O4  
O4.5 42450 4.628  5.62 -9.24 -3.89 -5.35 -0.33   ...    ...    ...    ...    ...   ...   -1.19   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  11.7   41.7    6.013 O4.5
O5   41500 4.618  5.58 -9.03 -3.82 -5.21 -0.33   ...    ...    ...    ...    ...  -0.133 -1.19   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  11.1   37.3    6.005 O5  
O5.5 40100 4.603  5.46 -8.78 -3.72 -5.06 -0.32   ...    ...    ...    ...    ...  -0.133 -1.18   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  10.6   34.7    6.093 O5.5
O6   38200 4.582  5.37 -8.49 -3.58 -4.91 -0.32   ...    ...    ...    ...    ...  -0.132 -1.17   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  10.2   31.7    6.144 O6  
O6.5 36800 4.566  5.20 -8.24 -3.47 -4.77 -0.32   ...    ...    ...    ...    ...  -0.131 -1.16   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  9.79   29.0    6.275 O6.5
O7   36500 4.562  5.17 -8.18 -3.38 -4.80 -0.32   ...    ...    ...    ...    ...  -0.130 -1.15   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  9.62   28      6.290 O7  
O7.5 35000 4.544  5.05 -7.87 -3.27 -4.60 -0.32   ...    ...    ...    ...    ...  -0.130 -1.14   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  9.11   24      6.343 O7.5
O8   34500 4.538  4.99 -7.72 -3.22 -4.50 -0.32   ...    ...    ...    ...    ...  -0.129 -1.13   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  8.75   22.9    6.383 O8  
O8.5 33000 4.519  4.87 -7.43 -3.13 -4.30 -0.32   ...    ...    ...    ...    ...  -0.128 -1.12   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...  ...  8.33   20.5    6.455 O8.5
O9   32500 4.512  4.82 -7.29 -3.09 -4.20 -0.318  ...    ...    ...    ...    ...  -0.127 -1.114  ...   -0.369 -1.000 -0.164 -0.071  ...    ...    ...    ...   -3.44 -3.20  ...  ...  8.11   19.7    6.487 O9  
O9.2 32250 4.509  4.79 -7.22 -3.07 -4.15 -0.315  ...    ...    ...    ...    ...  -0.126 -1.101  ...   -0.365 -0.989 -0.163 -0.070  ...    ...    ...    ...   -3.40 -3.16  ...  ...  7.96   19.1    6.504 O9.2
O9.5 32000 4.505  4.76 -7.15 -3.06 -4.09 -0.312  ...    ...    ...    ...    ...  -0.125 -1.087  ...   -0.361 -0.977 -0.161 -0.069  ...    ...    ...    ...   -3.35 -3.12  ...  ...  7.80   18.5    6.520 O9.5
O9.7 31750 4.502  4.73 -7.09 -3.04 -4.05 -0.310  ...    ...    ...    ...    ...  -0.124 -1.077  ...   -0.358 -0.968 -0.160 -0.068  ...    ...    ...    ...   -3.31 -3.08  ...  ...  7.67   18.0    6.538 O9.7
B0   31500 4.498  4.70 -7.02 -3.02 -4.00 -0.307  ...    ...    ...    ...    ...  -0.122 -1.067  ...   -0.355 -0.958 -0.159 -0.067  ...    ...    ...    ...   -3.27 -3.04  ...  ...  7.53   17.5    6.556 B0  
B0.5 29000 4.462  4.47 -6.43 -2.87 -3.56 -0.295  ...    ...    ...    ...    ...  -0.120 -1.026  ...   -0.338 -0.913 -0.153 -0.063  ...    ...    ...    ...   -2.90 -2.69  ...  ...  6.81   15      6.719 B0.5
B1   26000 4.415  4.13 -5.68 -2.61 -3.07 -0.278  ...    ...    ...    ...    ...  -0.113 -0.995 -0.115 -0.325 -0.874 -0.148 -0.059  ...    ...    ...    ...   -2.43 -2.23  ...  ...  5.72   11      6.924 B1  
B1.5 24500 4.389  3.89 -5.24 -2.43 -2.81 -0.252 -0.274  ...    ...    ...    ...  -0.103 -0.910 -0.114 -0.281 -0.752 -0.132 -0.047  0.035  ...    ...    ...   -2.23 -2.05  ...  ...  4.89   10      7.123 B1.5
B2   20600 4.314  3.38 -3.71 -2.06 -1.65 -0.210 -0.219  ...    ...    ...    ...  -0.094 -0.790 -0.094 -0.230 -0.602 -0.113 -0.032  0.036  ...    ...    ...   -1.24 -1.10  ...  ...  3.85   7.3     7.496 B2  
B2.5 18500 4.267  3.10 -3.15 -1.79 -1.36 -0.198 -0.206  ...    ...    ...    ...  -0.087 -0.732 -0.087 -0.210 -0.544 -0.105 -0.026  0.036  ...    ...    ...   -0.99 -0.86  ...  ...  3.45   6.1     7.698 B2.5
B3   17000 4.230  2.96 -2.64 -1.58 -1.06 -0.178 -0.184  ...    ...    ...    ...  -0.083 -0.673 -0.080 -0.192 -0.492 -0.098 -0.021  0.036  ...    ...    ...   -0.73 -0.61  ...  ...  3.48   5.4     7.785 B3  
B3.5 16850 4.227  2.93 -2.58 -1.55 -1.03 -0.171 -0.177  ...    ...    ...    ...  -0.080 -0.646 -0.077 -0.185 -0.469 -0.095 -0.0185 0.036  ...    ...    ...   -0.69 -0.58  ...  ...  3.445  5.2     7.799 B3.5
B4   16700 4.223  2.91 -2.52 -1.53 -0.99 -0.165 -0.170  ...    ...    ...    ...  -0.078 -0.619 -0.074 -0.176 -0.447 -0.092 -0.016  0.036  ...    ...    ...   -0.66 -0.55  ...  ...  3.41   5.0     7.802 B4  
B4.5 16200 4.210  2.95 -2.38 -1.44 -0.95 -0.160 -0.165  ...    ...    ...    ...  -0.075 -0.600 -0.072 -0.170 -0.432 -0.090 -0.0145 0.036  ...    ...    ...   -0.62 -0.51  ...  ...  3.405  4.8     7.744 B4.5
B5   15700 4.196  2.80 -2.25 -1.35 -0.90 -0.156 -0.160  ...    ...    ...    ...  -0.072 -0.581 -0.070 -0.165 -0.417 -0.089 -0.013  0.036 -0.045 -0.117 -0.070 -0.59 -0.48  ...  ...  3.40   4.6     7.876 B5  
B5.5 15100 4.179  2.67 -1.95 -1.45 -0.70 -0.148 -0.151  ...    ...    ...    ...  -0.069 -0.542 -0.066 -0.155 -0.387 -0.085 -0.010  0.036 -0.045 -0.117 -0.070 -0.41 -0.31  ...  ...  3.175  4.3     7.976 B5.5
B6   14500 4.161  2.54 -1.66 -1.16 -0.50 -0.140 -0.142  ...    ...    ...    ...  -0.066 -0.504 -0.062 -0.145 -0.358 -0.081 -0.007  0.035 -0.045 -0.117 -0.070 -0.23 -0.14  ...  ...  2.95   4.0     8.075 B6  
B6.5 14250 4.154  2.51 -1.46 -1.11 -0.45 -0.134 -0.135  ...    ...    ...    ...  -0.064 -0.481 -0.060 -0.139 -0.341 -0.079 -0.0055 0.035 -0.045 -0.117 -0.070 -0.19 -0.11  ...  ...  2.97   3.95    8.099 B6.5
B7   14000 4.146  2.49 -1.47 -1.07 -0.40 -0.128 -0.129  ...    ...    ...    ...  -0.062 -0.459 -0.058 -0.133 -0.325 -0.077 -0.004  0.035 -0.045 -0.117 -0.070 -0.16 -0.08  ...  ...  2.99   3.9     8.114 B7  
B7.5 13250 4.122  2.38 -1.19 -0.94 -0.25 -0.118 -0.118  ...    ...    ...    ...  -0.053 -0.411 -0.053 -0.120 -0.289 -0.072 -0.0005 0.034 -0.046 -0.116 -0.068 -0.08 -0.01  ...  ...  2.95   3.65    8.195 B7.5
B8   12500 4.097  2.27 -0.91 -0.81 -0.10 -0.109 -0.107  ...    ...    ...    ...  -0.045 -0.364 -0.048 -0.108 -0.254 -0.067  0.003  0.034 -0.046 -0.116 -0.067 -0.01  0.05  ...  ...  2.91   3.4     8.274 B8  
B8.5 11600 4.064  2.03 -0.18 -0.61  0.43 -0.090 -0.085  ...    ...    ...    ...  -0.037 -0.282 -0.038 -0.084 -0.187 -0.058  0.0095 0.033 -0.054 -0.110 -0.060  0.39  0.43  ...  ...  2.595  3.1     8.474 B8.5
B9   10700 4.029  1.79  0.28 -0.42  0.70 -0.070 -0.063  0.017 -0.120 -0.036  0.72 -0.029 -0.200 -0.028 -0.061 -0.121 -0.050  0.016  0.032 -0.063 -0.104 -0.054  0.79  0.82  ...  ...  2.28   2.8     8.670 B9  
B9.5 10400 4.017  1.73  0.44 -0.38  0.82 -0.050 -0.040  0.015 -0.087 -0.016  0.82 -0.021 -0.130 -0.017 -0.035 -0.048 -0.044  0.021  0.031 -0.044 -0.091 -0.043  0.83  0.85  ...  ...  2.26   2.5     8.681 B9.5
A0    9700 3.987  1.54  0.87 -0.24  1.11  0.000  0.013  0.007 -0.037  0.010  1.09  0.000 -0.005  0.001  0.004  0.041 -0.032  0.028  0.030 -0.041 -0.074 -0.022  1.07  1.07  ...  ...  2.09   2.3     8.835 A0  
A1    9200 3.964  1.41  1.19 -0.15  1.34  0.040  0.056  0.000  0.011  0.036  1.32  0.017  0.033  0.019  0.044  0.101 -0.024  0.031  0.030 -0.036 -0.068 -0.023  1.25  1.24  ...  ...  2.00   2.15    8.935 A1  
A2    8840 3.946  1.33  1.38 -0.10  1.48  0.070  0.091 -0.005  0.068  0.069  1.46  0.038  0.063  0.042  0.091  0.188 -0.010  0.034  0.029 -0.034 -0.067 -0.029  1.32  1.29  ...  ...  1.97   2.05    8.995 A2  
A3    8550 3.932  1.29  1.49 -0.06  1.55  0.090  0.109 -0.009  0.096  0.084  1.52  0.055  0.077  0.050  0.108  0.228 -0.002  0.034  0.029 -0.033 -0.066 -0.029  1.35  1.32  ...  ...  2.01   2.00    9.024 A3  
A4    8270 3.918  1.20  1.72 -0.04  1.76  0.140  0.166 -0.020  0.166  0.122  1.73  0.071  0.097  0.078  0.164  0.353  0.022  0.037  0.029 -0.031 -0.059 -0.021  1.47  1.41  ...  ...  1.94   1.90    9.092 A4  
A5    8080 3.907  1.16  1.81 -0.03  1.84  0.160  0.185 -0.024  0.194  0.137  1.81  0.090  0.100  0.089  0.186  0.403  0.031  0.038  0.029 -0.030 -0.058 -0.021  1.51  1.44  ...  ...  1.94   1.85    9.120 A5  
A6    8000 3.903  1.14  1.87 -0.02  1.89  0.170  0.194 -0.026  0.208  0.145  1.86  0.099  0.098  0.094  0.197  0.428  0.036  0.038  0.029 -0.030 -0.057 -0.018  1.54  1.46  ...  ...  1.93   1.83    9.135 A6  
A7    7800 3.892  1.06  2.07  0.00  2.07  0.210  0.233 -0.036  0.263  0.174  2.03  0.107  0.091  0.117  0.242  0.528  0.055  0.040  0.029 -0.030 -0.056 -0.017  1.64  1.54  ...  ...  1.86   1.76    9.198 A7  
A8    7500 3.875  0.97  2.29  0.00  2.29  0.250  0.274 -0.046  0.320  0.204  2.25  0.132  0.082  0.140  0.288  0.626  0.075  0.042  0.028 -0.028 -0.055 -0.009  1.78  1.66  ...  ...  1.81   1.67    9.266 A8  
A9    7440 3.872  0.97  2.30  0.00  2.30  0.255  0.279 -0.047  0.327  0.208  2.26  0.145  0.080  0.143  0.294  0.638  0.078  0.043  0.028 -0.028 -0.055 -0.007  1.78  1.66  ...  ...  1.84   1.67    9.266 A9  
F0    7220 3.859  0.89  2.50 -0.01  2.51  0.290  0.317 -0.060  0.377  0.230  2.46  0.158  0.053  0.166  0.339  0.732  0.098  0.045  0.028 -0.026 -0.050  0.003  1.90  1.76  ...  ...  1.79   1.59    9.324 F0  
F1    7030 3.847  0.77  2.78 -0.01  2.79  0.330  0.350 -0.079  0.434  0.252  2.73  0.204  0.021  0.190  0.385  0.828  0.119  0.047  0.028 -0.026 -0.047  0.009  2.13  1.96  ...  ...  1.64   1.50    9.419 F1  
F2    6810 3.833  0.70  2.97 -0.02  2.99  0.370  0.390 -0.093  0.490  0.279  2.92  0.250 -0.008  0.213  0.432  0.925  0.140  0.050  0.028 -0.027 -0.046  0.011  2.26  2.07  ...  ...  1.61   1.44    9.471 F2  
F3    6720 3.827  0.67  3.05 -0.03  3.08  0.390  0.405 -0.100  0.518  0.293  3.01  0.263 -0.016  0.222  0.449  0.961  0.147  0.051  0.028 -0.028 -0.046  0.008  2.32  2.12  ...  ...  1.60   1.43    9.498 F3  
F4    6640 3.822  0.61  3.19 -0.04  3.23  0.410  0.428 -0.107  0.546  0.307  3.16  0.277 -0.026  0.236  0.476  1.017  0.159  0.052  0.028 -0.029 -0.046  0.000  2.42  2.21  ...  ...  1.53   1.39    9.546 F4  
F5    6510 3.814  0.54  3.36 -0.04  3.40  0.440  0.455 -0.116  0.587  0.329  3.32  0.290 -0.029  0.252  0.506  1.079  0.173  0.054  0.028 -0.030 -0.045 -0.004  2.55  2.32  ...  ...  1.46   1.33    9.597 F5  
F6    6340 3.802  0.43  3.65 -0.05  3.70  0.484  0.504 -0.129  0.640  0.356  3.61  0.317 -0.021  0.276  0.553  1.185  0.199  0.057  0.028 -0.033 -0.045 -0.012  2.78  2.52  ...  ...  1.36   1.25    9.680 F6  
F7    6240 3.795  0.36  3.81 -0.06  3.87  0.510  0.534 -0.135  0.670  0.372  3.77  0.332 -0.012  0.290  0.579  1.244  0.213  0.060  0.027 -0.036 -0.045 -0.013  2.90  2.63  ...  ...  1.30   1.21    9.736 F7  
F8    6170 3.790  0.31  3.96 -0.07  4.01  0.530  0.558 -0.140  0.694  0.385  3.90  0.350  0.001  0.300  0.599  1.290  0.225  0.061  0.027 -0.039 -0.044 -0.016  3.01  2.72  ...  ...  1.25   1.18    9.775 F8  
F9    6060 3.782  0.26  4.07 -0.08  4.15  0.552  0.587 -0.146  0.719  0.399  4.04  0.378  0.014  0.312  0.620  1.340  0.237  0.063  0.027 -0.041 -0.044 -0.014  3.11  2.81  ...  ...  1.23   1.14    9.810 F9  
F9.5  6000 3.778  0.21  4.22 -0.08  4.29  0.572  0.615 -0.150  0.767  0.431  4.17  ...    0.033  0.323  0.640  1.385  0.249  0.065  0.027 -0.042 -0.043 -0.012  3.22  2.91  ...  ...  1.18   1.11    9.848 F9.5
G0    5920 3.772  0.14  4.40 -0.09  4.45  0.596  0.650 -0.155  0.782  0.438  4.32  ...    0.058  0.336  0.664  1.440  0.262  0.067  0.027 -0.043 -0.043 -0.010  3.34  3.01  ...  ...  1.12   1.08    9.906 G0  
G1    5880 3.769  0.13  4.40 -0.10  4.50  0.625  0.661 -0.162  0.803  0.448  4.37  ...    0.067  0.340  0.672  1.458  0.267  0.068  0.027 -0.044 -0.042 -0.010  3.38  3.04  ...  ...  1.12   1.07    9.912 G1  
G2    5770 3.761  0.01  4.68 -0.11  4.79  0.650  0.724 -0.167  0.823  0.459  4.65  ...    0.133  0.363  0.713  1.564  0.293  0.073  0.028 -0.050 -0.040 -0.016  3.57  3.20  ...  ...  1.01   1.02   10.011 G2  
G3    5720 3.757 -0.01  4.74 -0.12  4.86  0.660  0.739 -0.169  0.832  0.464  4.72  ...    0.152  0.368  0.722  1.590  0.299  0.074  0.028 -0.050 -0.040 -0.014  3.64  3.27  ...  ...  1.01   1.00   10.023 G3  
G4    5680 3.754 -0.04  4.80 -0.13  4.94  0.670  0.757 -0.172  0.841  0.468  4.79  ...    0.175  0.374  0.733  1.621  0.307  0.075  0.028 -0.052 -0.041 -0.014  3.70  3.32  ...  ...  0.986  0.99   10.048 G4  
G5    5660 3.753 -0.05  4.84 -0.13  4.98  0.680  0.764 -0.174  0.850  0.473  4.83  ...    0.185  0.377  0.738  1.635  0.310  0.076  0.028 -0.052 -0.041 -0.014  3.74  3.35  ...  ...  0.982  0.98   10.054 G5  
G6    5590 3.747 -0.11  4.98 -0.15  5.13  0.700  0.796 -0.180  0.869  0.483  4.97  ...    0.227  0.388  0.758  1.691  0.324  0.079  0.028 -0.053 -0.040 -0.012  3.84  3.44  ...  ...  0.939  0.97   10.110 G6  
G7    5530 3.743 -0.12  5.02 -0.16  5.18  0.710  0.809 -0.182  0.880  0.489  5.02  ...    0.243  0.393  0.766  1.712  0.329  0.080  0.028 -0.054 -0.040 -0.013  3.88  3.47  ...  ...  0.949  0.96   10.115 G7  
G8    5490 3.740 -0.17  5.15 -0.17  5.32  0.730  0.842 -0.188  0.900  0.499  5.15  ...    0.284  0.404  0.786  1.768  0.342  0.082  0.028 -0.057 -0.039 -0.018  3.97  3.55  ...  ...  0.909  0.94   10.156 G8  
G9    5340 3.728 -0.25  5.34 -0.21  5.55  0.775  0.894 -0.204  0.950  0.524  5.34  ...    0.358  0.423  0.820  1.861  0.365  0.087  0.029 -0.060 -0.038 -0.018  4.14  3.69  ...  ...  0.876  0.90   10.217 G9  
K0    5280 3.723 -0.33  5.54 -0.22  5.76  0.816  0.944 -0.221  0.98   0.56   5.53  ...    0.436  0.443  0.853  1.953  0.387  0.091  0.030 -0.063 -0.037 -0.015  4.29  3.81  ...  ...  0.817  0.87   10.282 K0  
K0.5  5240 3.719 -0.33  5.57 -0.23  5.80  0.825  0.955 -0.225  1.00   0.56   5.56  ...    0.456  0.448  0.862  1.977  0.393  0.092  0.030 -0.064 -0.038 -0.018  4.31  3.82  ...  ...  0.828  0.86   10.277 K0.5
K1    5170 3.713 -0.36  5.65 -0.26  5.89  0.842  0.976 -0.232  1.01   0.56   5.63  ...    0.491  0.457  0.879  2.021  0.402  0.094  0.030 -0.064 -0.038 -0.013  4.37  3.87  ...  ...  0.814  0.85   10.302 K1  
K1.5  5140 3.711 -0.39  5.70 -0.27  5.97  0.860  0.999 -0.241  1.05   0.58   5.69  ...    0.528  0.467  0.895  2.066  0.412  0.096  0.030 -0.063 -0.037 -0.016  4.41  3.90  ...  ...  0.809  0.82   10.317 K1.5
K2    5040 3.702 -0.47  5.88 -0.29  6.19  0.884  1.035 -0.254  1.10   0.62   5.89  ...    0.581  0.482  0.920  2.132  0.427  0.098  0.031 -0.068 -0.037 -0.009  4.57  4.04  ...  ...  0.763  0.78   10.375 K2  
K2.5  4990 3.698 -0.51  6.02 -0.32  6.34  0.938  1.101 -0.288  1.17   0.64   6.04  ...    0.691  0.513  0.974  2.274  0.459  0.104  0.032 -0.071 -0.032 -0.006  4.63  4.07  ...  ...  0.742  0.76   10.404 K2.5
K3    4830 3.684 -0.58  6.16 -0.41  6.57  0.986  1.150 -0.322  1.21   0.66   6.26  ...    0.776  0.537  1.013  2.380  0.483  0.109  0.033 -0.071 -0.031 -0.008  4.76  4.16  ...  ...  0.729  0.75   10.468 K3  
K3.5  4700 3.672 -0.64  6.34 -0.45  6.79  1.050  1.239 -0.371  1.27   0.68   6.42  ...    0.917  0.592  1.108  2.582  0.520  0.118  0.036 -0.074 -0.031 -0.005  4.85  4.21  ...  ...  0.720  0.73   10.516 K3.5
K4    4600 3.663 -0.67  6.42 -0.56  6.98  1.100  1.306 -0.412  1.32   0.70   6.55  ...    1.004  0.640  1.190  2.733  0.544  0.125  0.039 -0.073 -0.031  0.009  4.92  4.25  ...  ...  0.726  0.72   10.540 K4  
K4.5  4540 3.657 -0.68  6.44 -0.60  7.04  1.116  1.328 -0.425  1.38   0.72   6.62  ...    1.028  0.654  1.216  2.781  0.552  0.127  0.040 -0.073 -0.030  0.017  4.94  4.26  ...  ...  0.737  0.71   10.544 K4.5
K5    4410 3.644 -0.78  6.68 -0.68  7.36  1.150  1.373 -0.454  1.45   0.74   6.95  ...    1.081  0.685  1.272  2.883  0.568  0.132  0.042 -0.073 -0.029  0.019  5.18  4.48  ...  ...  0.698  0.68   10.625 K5  
K5.5  4330 3.636 -0.84  6.85 -0.75  7.60  1.200  1.414 -0.495  1.51   0.76   7.16  ...    1.144  0.728  1.357  3.034  0.591  0.139  0.045  ...    ...    ...    5.30  4.57  ...  ...  0.672  0.66   10.672 K5.5
K6    4230 3.626 -0.90  6.99 -0.81  7.80  1.240  1.439 -0.528  1.58   0.79   7.32  ...    1.184  0.759  1.420  3.143  0.601  0.148  0.049  ...    ...    ...    5.41  4.66  ...  ...  0.661  0.65   10.726 K6  
K6.5  4190 3.622 -0.96  7.09 -0.92  8.01  1.310  1.491 -0.581  1.64   0.83   7.49  ...    1.213  0.796  1.505  3.288  0.613  0.159  0.055  ...    ...    ...    5.56  4.78  ...  ...  0.656  0.64   10.779 K6.5
K7    4070 3.610 -0.98  7.18 -0.95  8.15  1.330  1.506 -0.595  1.71   0.87   7.58  ...    1.221  0.806  1.529  3.330  0.617  0.162  0.057  ...    ...    ...    5.60  4.82  ...  ...  0.654  0.63   10.792 K7  
K8    4000 3.602 -1.10  7.44 -1.03  8.47  1.380  1.562 -0.628  1.72   0.88   7.84  ...    1.216  0.843  1.632  3.487  0.623  0.176  0.081  ...    ...    ...    5.78  4.98  ...  ...  0.587  0.59   10.884 K8  
K9    3940 3.595 -1.18  7.59 -1.10  8.69  1.420  1.593 -0.69   1.78   0.90   8.00  ...    1.210  0.866  1.699  3.584  0.625  0.184  0.101  ...    ...    ...    5.92  5.11  ...  ...  0.552  0.56   10.941 K9  
M0    3870 3.588 -1.20  7.75 -1.16  8.91  1.408  1.623 -0.65   1.84   0.92   8.26  ...    1.204  0.889  1.766  3.680  0.626  0.193  0.122  ...    ...    ...    6.04  5.22  0.33 ...  0.559  0.55   10.953 M0  
M0.5  3800 3.580 -1.27  7.90 -1.38  9.20  1.441  ...   -0.74   1.97   0.96   8.46  ...    1.184  0.924  1.886  3.84   0.620  0.208  0.130  ...    ...    ...    6.19  5.36  0.37 ...  0.535  0.54   11.015 M0.5
M1    3700 3.568 -1.40  8.25 -1.44  9.69  1.475  ...   -0.82   2.09   1.01   8.87  ...    1.172  0.959  2.019  4.02   0.613  0.225  0.137  ...    ...    ...    6.51  5.67  0.41 ...  0.496  0.49   11.103 M1  
