Stars that have dubious parallaxes, new distances beyond 10 pc (within 2 sigma) or questioned companionship
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Common Name           ;Gl/GJ   ;Variable  ;Cst  ;RA_J2000   De_J2000  ;PMtot ;PosAng ;TrigPar  ;Error  ;Spect. Type  ;AparMag    ;P/D;Comments
Lacaille 9352 B?      ;        ;          ;PsA  ;23 05 52.0 -35 51 11 ; 6.90 ; 78.9  ; 305.08  ; 0.70  ; M 3.5 V     ; 5.34  H   ;   ;H = 3.61, Delta_H = 1.21, sep = 0.07sec, Mass = 0.25 (Ward-Duong+, 2015), ST derived from mass (using RECONS)
BD+5 1668 B?          ;        ;          ;CMi  ;07 27 24.5 +05 13 33 ; 3.74 ; 171.2 ; 266.24  ; 0.67  ; M 4.5 V     ; 6.64  H   ;   ;There is no 2nd epoch detection, but instead a non-detection of a backgr obj. H = 5.22, Delta_H = 1.07, sep = 0.17sec, Mass = 0.14 (Ward-Duong+, 2015), ST derived from mass (using RECONS)
Wolf 1061 B           ;        ;          ;Oph  ;16 30 18.1 -12 39 45 ; 1.19 ; 184.5 ; 232.213 ; 0.063 ; M 5   V     ; 11.7  V   ;   ;Real? Recheck
UPM 0429+3806 AB      ;        ;          ;Per  ;04 29 25.7 +38 06 09 ;      ;       ; 227     ; 19    ;             ; 15.46 V   ;   ;GDR2 Pi < 1 mas, B-V= 1.11 (AAVSO) is too blue for a mid-M dwarf
UPM 2340+4625 (Aab)   ;        ;          ;And  ;23 40 07.6 +46 25 08 ;      ;       ; 206     ; 17    ;             ; 14.03 V   ;   ;GDR2 Pi < 1 mas, B-V= 1.08 (XPM) is too blue for a mid-M dwarf, cpm with UPM 2340+4631
UPM 2340+4631 (Bab)   ;        ;          ;And  ;23 40 20.1 +46 31 11 ;      ;       ; 178     ; 24    ;             ; 14.11 J   ;   ;GDR2 Pi < 1 mas, cpm with UPM 2340+4625
UPM 0416+3100 AB      ;        ;          ;Per  ;04 16 33.0 +31 00 02 ;      ;       ; 176     ; 18    ;             ; 14.73 V   ;   ;GDR2 Pi < 2 mas
2MASS J1845-1409 A    ;        ;          ;Sct  ;18 45 01.0 -14 09 05 ; 0.12 ; 147.4 ; 167     ; 71    ; M 5   V     ; 12.95 V   ;   ;Malo et al. (2013) puts it at 16 +- 2 pc, GDR2 Pi= 55.0444 +-0.0927
2MASS J1845-1409 B    ;        ;          ;Sct  ;18 45 01.0 -14 09 04 ; 0.12 ; 147.4 ; 167     ; 71    ; M 5   V     ; 13.0  V   ;   ;Malo et al. (2013) puts it at 16 +- 2 pc, GDR2 Pi= 54.9657 +-0.0924
L 449-1 AB            ;        ;          ;Col  ;05 17 22.9 -35 21 54 ; 0.28 ; 233.1 ; 164     ; 34    ; M 4   V     ; 11.65 V   ;   ;84.38 +- 1.35 from TSN XXXIII
HD 29271              ;        ;          ;Tau  ;04 37 10.6 +15 56 15 ; 0.17 ; 146.0 ; 164     ; 31    ; M 1   V     ; 8.35  V   ;   ;GAIA par: 1.90 +- 0.30 mas
L 144-179 (A)         ;        ;          ;Mus  ;11 44 13.2 -65 16 07 ; 0.33 ; 232.0 ; 162     ; 49    ; M 4   V     ; 12.18 V   ;   ;NLTT 28394, GDR2 Pi= 24.28+-0.11
L 144-180 (B)         ;        ;          ;Mus  ;11 44 12.9 -65 15 57 ; 0.33 ; 232.0 ; 162     ; 49    ; M 4   V     ; 13.09 V   ;   ;NLTT 28395, GDR2 Pi= 23.814+-0.039
G 180-60              ;3959    ;          ;Her  ;16 31 18.4 +40 51 54 ; 0.36 ; 330.0 ; 155.0   ; 4.0   ; M 5   V     ; 14.76 V   ;   ;GDR2 Pi= 88.860 +-0.077
UPM 0012+5215 AB      ;        ;          ;Cas  ;00 12 47.2 +52 15 46 ;      ;       ; 154     ; 17    ;             ; 14.37 J   ;   ;GDR2 Pi < 1 mas
L 43-72 AB            ;        ;          ;Aps  ;18 11 15.3 -78 59 23 ; 0.29 ; 18.8  ; 152     ; 34    ; M 4.5 V     ; 12.47 V   ;   ;Pi= 82.3+-3.7 (2016AJ....152...24W)
